package,manager,version,scope
cupertino_icons,flutter,^1.0.8,runtime
flutter_riverpod,flutter,^2.6.1,runtime
go_router,flutter,^16.1.0,runtime
google_fonts,flutter,^6.3.0,runtime
firebase_core,flutter,^4.7.0,runtime
firebase_auth,flutter,^6.4.0,runtime
cloud_firestore,flutter,^6.3.0,runtime
cloud_functions,flutter,^6.0.0,runtime
mobile_scanner,flutter,^6.0.11,runtime
video_player,flutter,^2.10.0,runtime
flutter_local_notifications,flutter,^17.2.4,runtime
timezone,flutter,^0.9.4,runtime
url_launcher,flutter,^6.3.1,runtime
shared_preferences,flutter,^2.3.2,runtime
dio,flutter,^5.7.0,runtime
path_provider,flutter,^2.1.5,runtime
crypto,flutter,^3.0.6,runtime
health,flutter,^11.0.0,runtime
google_mlkit_pose_detection,flutter,^0.14.0,runtime
camera,flutter,^0.11.0+2,runtime
image,flutter,^4.3.0,runtime
speech_to_text,flutter,^7.0.0,runtime
flutter_tts,flutter,^4.2.2,runtime
encrypt,flutter,^5.0.3,runtime
permission_handler,flutter,^11.3.1,runtime
flutter_blue_plus,flutter,^1.32.12,runtime
tflite_flutter,flutter,^0.11.0,runtime
google_mlkit_image_labeling,flutter,^0.14.0,runtime
image_picker,flutter,^1.1.2,runtime
fake_async,flutter,^1.3.1,dev
flutter_lints,flutter,^5.0.0,dev
firebase-admin,npm,^12.6.0,runtime
firebase-functions,npm,^6.0.0,runtime
stripe,npm,^17.4.0,runtime
typescript,npm,^5.4.0,dev
