id,title,group,has_purpose,final_priority,confirmed_real_issue_codes,visual_status
ea_3_4_sit_up,3-4 Sit-up,Abdominals,False,PASS,,NOT_VERIFIED
ea_45_degree_bicycle_twist_knee_to_elbow,45 Degree Bicycle Twist Knee to Elbow,Abdominals,False,P2,DUPLICATE_STEPS,NOT_VERIFIED
ea_45_degree_bicycle_twisting,45 Degree Bicycle Twisting,Abdominals,False,P2,DUPLICATE_STEPS,NOT_VERIFIED
ea_45_degree_bicycle_twisting_crunch,45 Degree Bicycle Twisting Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_45_degree_side_bend,45 Degree Side Bend,Abdominals,False,PASS,,NOT_VERIFIED
ea_45_degree_twisting_hyperextension,45 Degree Twisting Hyperextension,Abdominals,False,PASS,,NOT_VERIFIED
ea_90_degree_heel_touch,90 Degree Heel Touch,Abdominals,False,P2,DUPLICATE_STEPS,NOT_VERIFIED
ea_90_degree_heels_touch,90 Degree Heels Touch,Abdominals,False,P2,DUPLICATE_STEPS,NOT_VERIFIED
ea_ab_wheel_all_the_way_out,AB Wheel All the Way Out,Abdominals,False,PASS,,NOT_VERIFIED
ea_ab_wheel_halfway_out,AB Wheel Halfway Out,Abdominals,False,PASS,,NOT_VERIFIED
ea_ab_wheel_left_out,AB Wheel Left Out,Abdominals,False,PASS,,NOT_VERIFIED
ea_ab_wheel_pulses,AB Wheel Pulses,Abdominals,False,PASS,,NOT_VERIFIED
ea_ab_wheel_right_out,AB Wheel Right Out,Abdominals,False,PASS,,NOT_VERIFIED
ea_ab_wheel_take_it_or_leave_it,AB Wheel Take It or Leave It,Abdominals,False,PASS,,NOT_VERIFIED
ea_ab_mat_sit_up,Ab Mat Sit-up,Abdominals,False,PASS,,NOT_VERIFIED
ea_ab_tuck,Ab Tuck,Abdominals,False,PASS,,NOT_VERIFIED
ea_abdominal_crunches,Abdominal Crunches,Abdominals,False,PASS,,NOT_VERIFIED
ea_abdominal_crunches_machine,Abdominal Crunches Machine,Abdominals,False,PASS,,NOT_VERIFIED
ea_abdominal_crunches_with_hold,Abdominal Crunches with Hold,Abdominals,False,PASS,,NOT_VERIFIED
ea_abs_snails,Abs Snails,Abdominals,True,PASS,,PASS
ea_air_bike,Air Bike,Abdominals,False,PASS,,NOT_VERIFIED
ea_air_bike_version_2,Air Bike (version 2),Abdominals,False,PASS,,NOT_VERIFIED
ea_air_bike_crunch,Air Bike Crunch,Abdominals,False,PASS,,NOT_VERIFIED
