path,file_type,domain,subsystem,purpose,production_or_test,referenced_by,active_or_legacy,data_source,security_sensitive,health_safety_sensitive,tests_known,documentation_known,audit_status,reviewer,notes
mobile/lib/firebase_options.dart,dart,UNKNOWN,,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/main.dart,dart,APP ENTRYPOINT,,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/assets/asset_bootstrap.dart,dart,MEDIA / ANIMATION,assets,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/camera/camera_availability.dart,dart,CAMERA,camera,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/camera/camera_session.dart,dart,CAMERA,camera,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/camera/centre_crop.dart,dart,CAMERA,camera,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/camera/frame_brightness.dart,dart,CAMERA,camera,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/camera/nv21_converter.dart,dart,CAMERA,camera,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/diagnostics/debug_telemetry.dart,dart,ANALYTICS,diagnostics,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/diagnostics/debug_telemetry_sink.dart,dart,ANALYTICS,diagnostics,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/firebase/functions_region.dart,dart,FIREBASE,firebase,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/health/health_models.dart,dart,HEALTH DATA,health,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/health/health_service.dart,dart,HEALTH DATA,health,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/health/platform_health_service.dart,dart,HEALTH DATA,health,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/health/state/health_providers.dart,dart,HEALTH DATA,health,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/health/widgets/health_sync_card.dart,dart,HEALTH DATA,health,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/licences/asset_licences.dart,dart,DOCUMENTATION,licences,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/notifications/local_notification_service.dart,dart,NOTIFICATIONS,notifications,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/notifications/mock_notification_service.dart,dart,NOTIFICATIONS,notifications,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/notifications/notification_providers.dart,dart,NOTIFICATIONS,notifications,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/notifications/notification_service.dart,dart,NOTIFICATIONS,notifications,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/router/app_router.dart,dart,ROUTING,router,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/settings/app_settings.dart,dart,STATE MANAGEMENT,settings,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/settings/settings_repository.dart,dart,STATE MANAGEMENT,settings,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/settings/state/settings_providers.dart,dart,STATE MANAGEMENT,settings,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/theme/app_palette.dart,dart,DESIGN SYSTEM,theme,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/theme/app_semantic_colors.dart,dart,DESIGN SYSTEM,theme,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/theme/app_theme.dart,dart,DESIGN SYSTEM,theme,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/wear/wear_sync_service.dart,dart,WEARABLES,wear,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/core/wear/state/wear_providers.dart,dart,WEARABLES,wear,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/features/about/about_page.dart,dart,DOCUMENTATION,about,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/features/account_deletion/account_deletion_page.dart,dart,PRIVACY,account_deletion,Flutter production source,production,,ACTIVE,,yes,,,,INVENTORIED,orchestrator,
mobile/lib/features/account_deletion/data/account_deletion_service.dart,dart,PRIVACY,account_deletion,Flutter production source,production,,ACTIVE,,yes,,,,INVENTORIED,orchestrator,
mobile/lib/features/account_deletion/data/cloud_functions_account_deletion_service.dart,dart,PRIVACY,account_deletion,Flutter production source,production,,ACTIVE,,yes,,,,INVENTORIED,orchestrator,
mobile/lib/features/account_deletion/data/local_data_wipe.dart,dart,PRIVACY,account_deletion,Flutter production source,production,,ACTIVE,,yes,,,,INVENTORIED,orchestrator,
mobile/lib/features/account_deletion/state/account_deletion_providers.dart,dart,PRIVACY,account_deletion,Flutter production source,production,,ACTIVE,,yes,,,,INVENTORIED,orchestrator,
mobile/lib/features/ai_coach/ai_coach_context.dart,dart,AI COACH,ai_coach,Flutter production source,production,,ACTIVE,,,yes,,,INVENTORIED,orchestrator,
mobile/lib/features/ai_coach/ai_coach_service.dart,dart,AI COACH,ai_coach,Flutter production source,production,,ACTIVE,,,yes,,,INVENTORIED,orchestrator,
mobile/lib/features/ai_coach/ai_coach_sheet.dart,dart,AI COACH,ai_coach,Flutter production source,production,,ACTIVE,,,yes,,,INVENTORIED,orchestrator,
mobile/lib/features/ai_coach/ai_exercise_generator.dart,dart,AI COACH,ai_coach,Flutter production source,production,,ACTIVE,,,yes,,,INVENTORIED,orchestrator,
mobile/lib/features/ai_coach/generated_exercise_repository.dart,dart,AI COACH,ai_coach,Flutter production source,production,,ACTIVE,,,yes,,,INVENTORIED,orchestrator,
mobile/lib/features/ai_planner/ai_planner_page.dart,dart,PROGRAMME GENERATION,ai_planner,Flutter production source,production,,ACTIVE,,,yes,,,INVENTORIED,orchestrator,
mobile/lib/features/ai_planner/data/plan_builder.dart,dart,PROGRAMME GENERATION,ai_planner,Flutter production source,production,,ACTIVE,,,yes,,,INVENTORIED,orchestrator,
mobile/lib/features/ai_planner/data/workout_plan.dart,dart,PROGRAMME GENERATION,ai_planner,Flutter production source,production,,ACTIVE,,,yes,,,INVENTORIED,orchestrator,
mobile/lib/features/ai_planner/state/ai_planner_providers.dart,dart,PROGRAMME GENERATION,ai_planner,Flutter production source,production,,ACTIVE,,,yes,,,INVENTORIED,orchestrator,
mobile/lib/features/auth/login_page.dart,dart,AUTH,auth,Flutter production source,production,,ACTIVE,,yes,,,,INVENTORIED,orchestrator,
mobile/lib/features/auth/data/auth_repository.dart,dart,AUTH,auth,Flutter production source,production,,ACTIVE,,yes,,,,INVENTORIED,orchestrator,
mobile/lib/features/auth/data/auth_user.dart,dart,AUTH,auth,Flutter production source,production,,ACTIVE,,yes,,,,INVENTORIED,orchestrator,
mobile/lib/features/auth/data/firebase_auth_repository.dart,dart,AUTH,auth,Flutter production source,production,,ACTIVE,,yes,,,,INVENTORIED,orchestrator,
mobile/lib/features/auth/data/mock_auth_repository.dart,dart,AUTH,auth,Flutter production source,production,,ACTIVE,,yes,,,,INVENTORIED,orchestrator,
mobile/lib/features/auth/state/auth_providers.dart,dart,AUTH,auth,Flutter production source,production,,ACTIVE,,yes,,,,INVENTORIED,orchestrator,
mobile/lib/features/body_comp/data/body_comp_estimate.dart,dart,BODY METRICS,body_comp,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/features/buddy/data/buddy_match.dart,dart,COMMUNITY,buddy,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/features/catalog/contribute_video_page.dart,dart,EXERCISE CATALOG,catalog,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/features/catalog/moderation_page.dart,dart,EXERCISE CATALOG,catalog,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/features/catalog/data/community_video.dart,dart,EXERCISE CATALOG,catalog,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
mobile/lib/features/catalog/data/community_video_repository.dart,dart,EXERCISE CATALOG,catalog,Flutter production source,production,,ACTIVE,,,,,,INVENTORIED,orchestrator,
