route_path,declared_in,line,duplicate_declarations,has_param,referenced_elsewhere_in_lib,test_coverage_mentions,status,notes
/about,mobile/lib/core/router/app_router.dart,292,1,False,4,12,OK,
/backup,mobile/lib/core/router/app_router.dart,340,1,False,1,6,OK,
/celebrity-plans,mobile/lib/core/router/app_router.dart,332,1,False,1,0,OK,
/coaches,mobile/lib/core/router/app_router.dart,372,1,False,1,0,OK,
/community,mobile/lib/core/router/app_router.dart,344,1,False,4,7,OK,
/contribute,mobile/lib/core/router/app_router.dart,364,1,False,1,1,OK,
/delete-account,mobile/lib/core/router/app_router.dart,321,1,False,1,3,OK,
/donors,mobile/lib/core/router/app_router.dart,324,1,False,1,5,OK,
/equipment/:id,mobile/lib/core/router/app_router.dart,255,1,True,55,212,OK,
/exercise/:id,mobile/lib/core/router/app_router.dart,261,1,True,15,61,OK,
/form-check,mobile/lib/core/router/app_router.dart,354,1,False,2,0,OK,
/home,mobile/lib/core/router/app_router.dart,380,1,False,9,40,OK,
/injuries,mobile/lib/core/router/app_router.dart,311,1,False,1,1,OK,
/licences,mobile/lib/core/router/app_router.dart,296,1,False,3,8,OK,
/login,mobile/lib/core/router/app_router.dart,247,1,False,3,20,OK,
/moderate,mobile/lib/core/router/app_router.dart,368,1,False,1,1,OK,
/onboarding,mobile/lib/core/router/app_router.dart,251,1,False,12,37,OK,
/photos,mobile/lib/core/router/app_router.dart,336,1,False,2,2,OK,
/plan,mobile/lib/core/router/app_router.dart,328,1,False,13,5,OK,
/posture,mobile/lib/core/router/app_router.dart,361,1,False,3,12,OK,
/privacy,mobile/lib/core/router/app_router.dart,304,1,False,3,4,OK,
/profile,mobile/lib/core/router/app_router.dart,396,1,False,40,173,OK,
/progress,mobile/lib/core/router/app_router.dart,392,1,False,19,93,OK,
/scan,mobile/lib/core/router/app_router.dart,384,1,False,7,27,OK,
/settings,mobile/lib/core/router/app_router.dart,314,1,False,11,43,OK,
/splash,mobile/lib/core/router/app_router.dart,243,1,False,1,11,OK,
/subscription,mobile/lib/core/router/app_router.dart,288,1,False,17,54,OK,
/team/:teamId,mobile/lib/core/router/app_router.dart,348,1,True,2,8,OK,
/terms,mobile/lib/core/router/app_router.dart,300,1,False,4,5,OK,
/workout-summary,mobile/lib/core/router/app_router.dart,270,1,False,1,0,OK,
/workout/:id,mobile/lib/core/router/app_router.dart,274,1,True,42,209,OK,
/workouts,mobile/lib/core/router/app_router.dart,388,1,False,29,156,OK,
