exercise_id,title_en,title_ru,equipment_id,equipment_label,muscles_n,primary_muscles_n,difficulty,duration_min,has_purpose_en,has_purpose_ru,steps_n,contraindications_n,contraindications,video_men,video_girl,poster_men,poster_girl,pose_target_id,form_check_supported,is_stretch,vendor_group,quarantined,summary_eq_steps0_en,summary_eq_steps0_ru,summary_cluster_size,steps_cluster_size,data_quality_status
ea_180_jump_turns,180 Jump Turns,Прыжки с поворотом на 180 градусов,,None (Bodyweight),0,0,beginner,10,True,True,5,2,ankle|knee,exercises/men/Calisthenics-Cardio-Plyo-Functional/180 Jump Turns.mp4,exercises/girl/Calisthenics-Cardio-Plyo-Functional/180 Jump Turns.mp4,assets/posters/men/ea_180_jump_turns.jpg,assets/posters/girl/ea_180_jump_turns.jpg,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,1,1,NO_EQUIPMENT_ID;NO_MUSCLES;NO_PRIMARY_MUSCLES
ea_3_leg_chatarunga_pose,3 Leg Chatarunga Pose,Чатуранга на трёх точках опоры,,None,5,3,beginner,10,False,False,4,0,,,exercises/girl/Yoga/3 Leg Chatarunga Pose.mp4,,assets/posters/girl/ea_3_leg_chatarunga_pose.jpg,,False,True,Yoga,False,True,True,1,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PURPOSE;NO_MALE_CLIP
ea_3_leg_dog_pose,3 Leg Dog Pose,Собака мордой вниз на трёх точках опоры,,None,4,3,beginner,10,False,False,4,0,,,exercises/girl/Yoga/3 Leg Dog Pose.mp4,,assets/posters/girl/ea_3_leg_dog_pose.jpg,,False,True,Yoga,False,True,True,1,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PURPOSE;NO_MALE_CLIP
ea_3_4_sit_up,3-4 Sit-up,Скручивания на 3/4,,None,2,1,beginner,10,False,False,4,2,lower_back|neck,,exercises/girl/Abdominals/3-4 Sit-up.mp4,,assets/posters/girl/ea_3_4_sit_up.jpg,situp,True,False,Abdominals,False,True,True,1,1,NO_EQUIPMENT_ID;NO_PURPOSE;NO_MALE_CLIP
ea_4_corners_curtsy,4 Corners Curtsy,Реверанс в четыре стороны,,None,4,3,beginner,10,False,False,4,0,,,exercises/girl/Calisthenics-Cardio-Plyo-Functional/4 Corners Curtsy.mp4,,assets/posters/girl/ea_4_corners_curtsy.jpg,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,1,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PURPOSE;NO_MALE_CLIP
ea_4_corners_side_step,4 Corners Side Step,Боковые шаги в четыре стороны,,None,5,3,beginner,10,False,False,4,1,knee,,exercises/girl/Calisthenics-Cardio-Plyo-Functional/4 Corners Side Step.mp4,,assets/posters/girl/ea_4_corners_side_step.jpg,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,1,1,NO_EQUIPMENT_ID;NO_PURPOSE;NO_MALE_CLIP
ea_4_punches_side_squat,4 Punches Side Squat,Боковой присед с четырьмя ударами,,None,4,2,beginner,10,False,False,4,3,ankle|hip|knee,,exercises/girl/Calisthenics-Cardio-Plyo-Functional/4 Punches Side Squat.mp4,,assets/posters/girl/ea_4_punches_side_squat.jpg,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,1,1,NO_EQUIPMENT_ID;NO_PURPOSE;NO_MALE_CLIP
ea_4_reverse_lunge_and_4_side_taps,4 Reverse Lunge and 4 Side Taps,4 обратных выпада и 4 боковых касания,,None,4,2,beginner,10,False,False,4,2,hip|knee,,exercises/girl/Legs/4 Reverse Lunge and 4 Side Taps.mp4,,assets/posters/girl/ea_4_reverse_lunge_and_4_side_taps.jpg,lunge,True,False,Legs,False,True,True,1,1,NO_EQUIPMENT_ID;NO_PURPOSE;NO_MALE_CLIP
ea_45_degree_bicycle_twist_knee_to_elbow,45 Degree Bicycle Twist Knee to Elbow,Скручивания «велосипед» под углом 45 градусов (колено к локтю),back_extension,Hyperextension Bench,3,1,beginner,10,False,False,4,0,,exercises/men/Abdominals/45 degree bicycle twist knee to elbow.mp4,,assets/posters/men/ea_45_degree_bicycle_twist_knee_to_elbow.jpg,,,False,False,Abdominals,False,True,True,3,2,NO_CONTRAINDICATION_TAGS;NO_PURPOSE;NO_FEMALE_CLIP;SHARED_SUMMARY;SHARED_STEPS
ea_45_degree_bicycle_twisting,45 Degree Bicycle Twisting,Скручивания «велосипед» под углом 45 градусов,back_extension,Hyperextension Bench,3,1,beginner,10,False,False,4,0,,,exercises/girl/Abdominals/45 Degree Bicycle Twisting.mp4,,assets/posters/girl/ea_45_degree_bicycle_twisting.jpg,,False,False,Abdominals,False,True,True,3,2,NO_CONTRAINDICATION_TAGS;NO_PURPOSE;NO_MALE_CLIP;SHARED_SUMMARY;SHARED_STEPS
ea_45_degree_bicycle_twisting_crunch,45 Degree Bicycle Twisting Crunch,Скручивания «велосипед» с поворотом под углом 45 градусов,back_extension,Hyperextension Bench,3,1,beginner,10,False,False,4,2,lower_back|neck,,exercises/girl/Abdominals/45 degree Bicycle Twisting Crunch.mp4,,assets/posters/girl/ea_45_degree_bicycle_twisting_crunch.jpg,,False,False,Abdominals,False,True,True,3,1,NO_PURPOSE;NO_MALE_CLIP;SHARED_SUMMARY
ea_45_degree_hyperextension_arms_in_front_of_chest,45 Degree Hyperextension (arms in Front of Chest),Гиперэкстензия под углом 45 градусов (руки перед грудью),back_extension,Hyperextension Bench,3,2,beginner,10,False,False,4,1,lower_back,,exercises/girl/Back/45 degree hyperextension (arms in front of chest).mp4,,assets/posters/girl/ea_45_degree_hyperextension_arms_in_front_of_chest.jpg,,False,False,Back,False,True,True,4,3,NO_PURPOSE;NO_MALE_CLIP;SHARED_SUMMARY;SHARED_STEPS
