field,owner_model,collected_where,privacy_class,reference_files,referencing_files_sample,used_by_recommendations,used_by_programme,used_by_workout,used_by_safety_filter,used_by_AI,used_by_other_engine,actually_referenced,status,notes
birthYear,PersonalInfo,onboarding/step_personal.dart,identity/age,2,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_personal.dart,no,no,no,no,no,no,NO,DEAD_FIELD,
gender,PersonalInfo,onboarding/step_personal.dart,identity,8,mobile/lib/features/equipment/data/equipment_models.dart|mobile/lib/features/equipment/widgets/exercise_reference.dart|mobile/lib/features/equipment/workout_player_page.dart|mobile/lib/features/form_check/form_check_page.dart|mobile/lib/features/form_check/state/form_check_providers.dart|mobile/lib/features/onboarding/data/step_answered.dart,no,no,YES,no,no,mobile/lib/features/form_check/form_check_page.dart|mobile/lib/features/form_check/state/form_check_providers.dart,YES,USED,
heightCm,PersonalInfo,onboarding/step_body.dart,body metric,8,mobile/lib/features/body_comp/data/body_comp_estimate.dart|mobile/lib/features/form_check/data/pose_silhouette.dart|mobile/lib/features/form_check/state/form_check_providers.dart|mobile/lib/features/onboarding/data/body_metrics.dart|mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_personal.dart,no,no,no,no,no,mobile/lib/features/body_comp/data/body_comp_estimate.dart|mobile/lib/features/form_check/data/pose_silhouette.dart|mobile/lib/features/form_check/state/form_check_providers.dart,YES,USED,
weightCurrentKg,PersonalInfo,onboarding/step_body.dart,body metric,4,mobile/lib/features/form_check/state/form_check_providers.dart|mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_personal.dart|mobile/lib/features/profile/profile_page.dart,no,no,no,no,no,mobile/lib/features/form_check/state/form_check_providers.dart,YES,USED,
weightTargetKg,PersonalInfo,onboarding/step_body.dart,body metric,2,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_personal.dart,no,no,no,no,no,no,NO,DEAD_FIELD,
activityLevel,PersonalInfo,onboarding/step_lifestyle.dart,lifestyle,4,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_personal.dart|mobile/lib/features/profile/data/firestore_profile_repository.dart|mobile/lib/features/profile/profile_page.dart,no,no,no,no,no,no,NO,DEAD_FIELD,
conditions,HealthHistory,onboarding/step_health.dart,HEALTH - special category,9,mobile/lib/features/ai_coach/ai_coach_context.dart|mobile/lib/features/ai_planner/data/plan_builder.dart|mobile/lib/features/form_check/data/coach_phases.dart|mobile/lib/features/legal/privacy_page.dart|mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_health.dart,no,YES,no,YES,YES,mobile/lib/features/form_check/data/coach_phases.dart,YES,USED,
allergies,HealthHistory,onboarding/step_health.dart,HEALTH - special category,5,mobile/lib/features/legal/privacy_page.dart|mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_health.dart|mobile/lib/features/onboarding/steps/step_health_flags.dart|mobile/lib/features/safety/data/health_flags.dart,no,no,no,YES,no,no,YES,USED,
medications,HealthHistory,onboarding/step_health.dart,HEALTH - special category,9,mobile/lib/features/ai_coach/ai_coach_context.dart|mobile/lib/features/data_export/data_export_sink.dart|mobile/lib/features/legal/privacy_page.dart|mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_health.dart|mobile/lib/features/onboarding/steps/step_health_flags.dart,no,no,no,YES,YES,no,YES,USED,
injuries,HealthHistory,onboarding/step_health.dart,HEALTH - special category,36,mobile/lib/core/router/app_router.dart|mobile/lib/features/account_deletion/account_deletion_page.dart|mobile/lib/features/ai_coach/ai_coach_context.dart|mobile/lib/features/ai_planner/data/plan_builder.dart|mobile/lib/features/ai_planner/state/ai_planner_providers.dart|mobile/lib/features/auth/data/firebase_auth_repository.dart,no,YES,YES,YES,YES,no,YES,USED,
