metric,audit_value,current_value,calculation_method,match,delta,interpretation
total exercises,1887,1887,len(exercises_vendor.json),MATCH,,
duplicate ids,0,0,Counter over id field,MATCH,,
EN-only ids,0,0,set difference against the RU dict keys,MATCH,,
RU-only ids,0,0,set difference,MATCH,,
summary != steps[0] EN,0,0,per-row comparison,MATCH,,
summary != steps[0] RU,0,0,per-row comparison over RU dict values,MATCH,,
broken equipment references,0,0,equipmentId membership in equipment.json ids,MATCH,,
missing posters on disk,0,0,os.path.exists per non-http poster path,MATCH,,
rows with no equipmentId,503,503,empty-or-absent test,MATCH,,
rows with no contraindication tag,360,360,empty-or-absent test,MATCH,,
rows with no purpose,1484,1484,falsy test,MATCH,,
difficulty beginner,1877,1877,Counter over difficulty,MATCH,,
difficulty advanced,8,8,Counter,MATCH,,
difficulty intermediate,2,2,Counter,MATCH,,
untagged share of catalogue (%),19.1,19.1,360/1887,MATCH,,
registry machines,69,69,len(equipment.json),MATCH,,
machines with zero exercises,4,4,counter,MATCH,,
rows with a poseTargetId,540,540,truthy test,MATCH,,
rows with a male clip,1764,1764,key test,MATCH,,
rows with a female clip,775,775,key test,MATCH,,
providers declared,196,196,regex over lib/,MATCH,,
unreferenced providers (file-count method),15,15,REPRODUCING THE FLAWED METHOD,MATCH,,the first audit used this and it overcounts: it cannot see a consumer in the same file
unreferenced providers (occurrence method),7,7,occurrences across lib/ and test/,MATCH,,the corrected figure
