id,title,pass,score,vendor_match,girl,men,had_video_before
barbell_bench_press_medium_grip,Barbell Bench Press - Medium Grip,fuzzy,0.67,barbell bench close grip press,,,False
barbell_guillotine_bench_press,Barbell Guillotine Bench Press,fuzzy,0.75,barbell bench press,,,True
barbell_incline_bench_press_medium_grip,Barbell Incline Bench Press - Medium Grip,fuzzy,0.67,barbell bench incline press,,,True
bench_press_powerlifting,Bench Press - Powerlifting,none,0.50,band bench press,,,False
bench_press_with_bands,Bench Press - With Bands,exact,1.00,band bench press,exercises/girl/Chest/Band Bench Press.mp4,,False
bench_press_with_chains,Bench Press with Chains,none,0.50,band bench press,,,False
bear_crawl_sled_drags,Bear Crawl Sled Drags,none,0.40,crawl drag sled,,,False
calf_press_on_the_leg_press_machine,Calf Press On The Leg Press Machine,subset,1.00,calf leg machine press raise,exercises/girl/Legs/Calf raise leg press machine.mp4,exercises/men/Legs/Calf raise leg press machine.mp4,False
leg_press,Leg Press,subset,1.00,band leg press,exercises/girl/Legs/Band Leg Press.mp4,exercises/men/Legs/Band Leg Press.mp4,True
narrow_stance_leg_press,Narrow Stance Leg Press,none,0.50,leg machine normal press stance,,,False
sled_drag_harness,Sled Drag - Harness,none,0.50,crawl drag sled,,,False
sled_overhead_backward_walk,Sled Overhead Backward Walk,none,0.20,gorilla walk,,,False
close_grip_front_lat_pulldown,Close-Grip Front Lat Pulldown,subset,1.00,cable close down front grip lat pull,,exercises/men/Back/Cable Close Grip Front Lat Pulldown.mp4,True
full_range_of_motion_lat_pulldown,Full Range-Of-Motion Lat Pulldown,none,0.38,band down kneeling lat pull,,,False
one_arm_lat_pulldown,One Arm Lat Pulldown,subset,1.00,arm cable down lat one pull,,exercises/men/Back/Cable one arm lat pulldown.mp4,False
rocky_pull_ups_pulldowns,Rocky Pull-Ups/Pulldowns,none,0.40,bench pull ups,,,False
rope_straight_arm_pulldown,Rope Straight-Arm Pulldown,fuzzy,0.67,arm cable down pull straight,,,False
straight_arm_pulldown,Straight-Arm Pulldown,subset,1.00,arm cable down pull straight,,exercises/men/Back/Cable Straight Arm Pulldown.mp4,True
barbell_full_squat,Barbell Full Squat,exact,1.00,barbell full squat,exercises/girl/Legs/Barbell Full Squat.mp4,exercises/men/Powerlifting/Barbell full squat.mp4,False
barbell_hack_squat,Barbell Hack Squat,none,0.50,barbell bench squat,,,False
barbell_side_split_squat,Barbell Side Split Squat,exact,1.00,barbell side split squat,,exercises/men/Legs/Barbell side split squat.mp4,False
barbell_squat,Barbell Squat,subset,1.00,barbell bench squat,exercises/girl/Legs/Barbell Bench Squat.mp4,exercises/men/Legs/Barbell bench squats.mp4,True
barbell_squat_to_a_bench,Barbell Squat To A Bench,exact,1.00,barbell bench squat,exercises/girl/Legs/Barbell Bench Squat.mp4,exercises/men/Legs/Barbell bench squats.mp4,False
box_squat,Box Squat,subset,1.00,barbell box squat,exercises/girl/Legs/Barbell Box Squat.mp4,exercises/men/Legs/Barbell box squat.mp4,False
bodyweight_mid_row,Bodyweight Mid Row,none,0.40,bodyweight kneeling push row,,,False
inverted_row_with_straps,Inverted Row with Straps,none,0.40,inverted machine row smith,,,True
leverage_high_row,Leverage High Row,none,0.33,grips high row suspension trainer,,,False
leverage_iso_row,Leverage Iso Row,none,0.25,kettlebell row,,,False
lying_t_bar_row,Lying T-Bar Row,none,0.40,barbell lying row,,,True
narrow_stance_hack_squats,Narrow Stance Hack Squats,fuzzy,0.60,barbell narrow squat stance,,,False
ab_crunch_machine,Ab Crunch Machine,exact,1.00,ab crunch machine,exercises/girl/Abdominals/Abdominal Crunches Machine.mp4,exercises/men/Abdominals/abdominal crunches machine.mp4,False
barbell_walking_lunge,Barbell Walking Lunge,fuzzy,0.67,barbell lunge,,,False
bench_sprint,Bench Sprint,none,0.25,assisted bench chin,,,False
bodyweight_walking_lunge,Bodyweight Walking Lunge,none,0.50,bodyweight forward lunge,,,False
bosu_ball_cable_crunch_with_side_bends,Bosu Ball Cable Crunch With Side Bends,none,0.50,ball bosu crunch,,,False
cable_crunch,Cable Crunch,subset,1.00,cable crunch standing,exercises/girl/Abdominals/Cable Standing Crunch.mp4,exercises/men/Abdominals/Cable Standing Crunch.mp4,True
advanced_kettlebell_windmill,Advanced Kettlebell Windmill,fuzzy,0.67,kettlebell windmill,,,False
alternating_floor_press,Alternating Floor Press,none,0.40,barbell chest floor press,,,False
alternating_hang_clean,Alternating Hang Clean,none,0.50,barbell clean hang,,,False
alternating_kettlebell_press,Alternating Kettlebell Press,none,0.50,kettlebell press sit,,,False
alternating_kettlebell_row,Alternating Kettlebell Row,fuzzy,0.67,kettlebell row,,,False
alternating_renegade_row,Alternating Renegade Row,none,0.50,push renegade row,,,False
alternate_hammer_curl,Alternate Hammer Curl,subset,1.00,alternate curl dumbbell hammer seated,exercises/girl/Biceps/Alternate Hammer Curl Seated Dumbbells.mp4,exercises/men/Biceps/Dumbbell Alternate Seated Hammer Curl.mp4,False
alternate_incline_dumbbell_curl,Alternate Incline Dumbbell Curl,exact,1.00,alternate curl dumbbell incline,,exercises/men/Biceps/Dumbbell Incline Alternate Curl.mp4,True
alternating_deltoid_raise,Alternating Deltoid Raise,none,0.40,alternating bridge leg raise,,,False
arnold_dumbbell_press,Arnold Dumbbell Press,exact,1.00,arnold dumbbell press,,exercises/men/Shoulders/arnold press dumbbell.mp4,True
around_the_worlds,Around The Worlds,none,0.25,around dumbbell pullover,,,False
bent_arm_dumbbell_pullover,Bent-Arm Dumbbell Pullover,exact,1.00,arm bent dumbbell pullover,,exercises/men/Back/Dumbbell Bent Arm Pullover.mp4,False
anti_gravity_press,Anti-Gravity Press,subset,1.00,anti barbell ezbar gravity press,,exercises/men/Shoulders/EZ Barbell Anti Gravity Press.mp4,True
