measured_at_utc,layer,files,lines,chars,est_tokens
2026-07-28T17:07:39Z,"1. ALWAYS-ON   (CLAUDE.md chain)",3,2903,202004,50501
2026-07-28T17:07:39Z,"2. AGENT ENTRY (AGENTS.md)",1,96,4785,1196
2026-07-28T17:07:39Z,"3. DOC SURFACE (core/ + root md)",20,4779,235691,58923
2026-07-28T17:07:39Z,"4. CODE SURFACE (mobile/lib)",158,18851,610601,152650
2026-07-28T17:11:52Z,"1. ALWAYS-ON   (CLAUDE.md chain)",3,2129,148038,37010
2026-07-28T17:11:52Z,"2. AGENT ENTRY (AGENTS.md)",1,96,4785,1196
2026-07-28T17:11:52Z,"3. DOC SURFACE (core/ + root md)",20,4803,237342,59336
2026-07-28T17:11:52Z,"4. CODE SURFACE (mobile/lib)",158,18851,610601,152650
2026-07-28T17:36:21Z,"1. ALWAYS-ON   (CLAUDE.md chain)",3,2103,145487,36372
2026-07-28T17:36:21Z,"2. AGENT ENTRY (AGENTS.md)",1,96,4785,1196
2026-07-28T17:36:21Z,"3. DOC SURFACE (core/ + root md)",20,4855,240296,60074
2026-07-28T17:36:21Z,"4. CODE SURFACE (mobile/lib)",158,18851,610601,152650
