id,title,region,rule,matched,primaryMuscles,vendorGroup,already
ea_180_jump_turns,180 Jump Turns,ankle,ankle_impact,jump,,Calisthenics-Cardio-Plyo-Functional,False
ea_4_punches_side_squat,4 Punches Side Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Calisthenics-Cardio-Plyo-Functional,False
ea_agility_ladder_advanced_hop_position,Agility Ladder Advanced Hop Position,ankle,ankle_impact,hop,,Calisthenics-Cardio-Plyo-Functional,False
ea_agility_ladder_lateral_movement_with_double_hop,Agility Ladder Lateral Movement with Double Hop,ankle,ankle_impact,hop,,Calisthenics-Cardio-Plyo-Functional,False
ea_air_swing_running,Air Swing Running,ankle,ankle_impact,running,,Calisthenics-Cardio-Plyo-Functional,False
ea_alternate_heel_touch_side_kick_squat,Alternate Heel Touch Side Kick Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_assault_airbike_sprint_speed,Assault Airbike Sprint Speed,ankle,ankle_impact,sprint,"quads,hamstrings,glutes",Calisthenics-Cardio-Plyo-Functional,False
ea_assisted_bulgarian_split_squat,Assisted Bulgarian Split Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_assisted_pistol_squats,Assisted Pistol Squats,ankle,ankle_deep_dorsiflexion,pistol,"quads,glutes",Legs,False
ea_balance_board_lateral_squat,Balance Board Lateral Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Calisthenics-Cardio-Plyo-Functional,False
ea_ball_headlock_squat,Ball Headlock Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_band_single_leg_split_squat,Band Single Leg Split Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_band_spanish_split_squat,Band Spanish Split Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_band_squat_row,Band Squat Row,ankle,ankle_deep_dorsiflexion,squat,,Calisthenics-Cardio-Plyo-Functional,False
ea_band_two_legs_calf_raise_band_under_both_legs_version_2,Band Two Legs Calf Raise - (band Under Both Legs) Version 2,ankle,ankle_plantarflexion,calf raise,calves,Legs,False
ea_barbell_bench_squats,Barbell Bench Squats,ankle,ankle_deep_dorsiflexion,squats,"quads,glutes",Legs,False
ea_barbell_box_squat,Barbell Box Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_bulgarian_split_squat,Barbell Bulgarian Split Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_bulgarian_split_squat_left_front_back_view,Barbell Bulgarian Split Squat Left Front-back View,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_bulgarian_split_squat_left_side_view,Barbell Bulgarian Split Squat Left Side View,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_calf_jump,Barbell Calf Jump,ankle,ankle_impact,jump,calves,Legs,False
ea_barbell_clean_and_jerk_split_squat,Barbell Clean and Jerk Split Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes,shoulders",Powerlifting,False
ea_barbell_clean_grip_front_squat,Barbell Clean Grip Front Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_front_bench_squat,Barbell Front Bench Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_front_chest_bench_squat,Barbell Front Chest Bench Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_front_chest_squat,Barbell Front Chest Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_front_squats,Barbell Front Squats,ankle,ankle_deep_dorsiflexion,squats,"quads,glutes",Legs,False
ea_barbell_full_squat,Barbell Full Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_full_squat_side_pov,Barbell Full Squat Side Pov,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_full_squat_wide,Barbell Full Squat Wide,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_full_squat_back,Barbell Full Squat(back),ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_full_squat_with_rack,Barbell Full Squat(with Rack),ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_full_zercher_squat,Barbell Full Zercher Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_jefferson_split_squat,Barbell Jefferson Split Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_jefferson_squat,Barbell Jefferson Squat,ankle,ankle_deep_dorsiflexion,squat,"quads,glutes",Legs,False
ea_barbell_jump_shrug,Barbell Jump Shrug,ankle,ankle_impact,jump,,Calisthenics-Cardio-Plyo-Functional,False
