id,title,region,rule,matched,primaryMuscles,vendorGroup,already
ea_ab_wheel_plank,Ab Wheel Plank,elbow,elbow_locked_support,plank,core,Yoga,False
ea_alternate_arm_leg_plank,Alternate Arm Leg Plank,elbow,elbow_locked_support,plank,"shoulders,glutes",Abdominals,False
ea_alternate_arm_leg_plank_hold,Alternate Arm Leg Plank Hold,elbow,elbow_locked_support,plank,"shoulders,glutes",Abdominals,False
ea_alternate_arm_leg_plank_rest_pause,Alternate Arm Leg Plank Rest Pause,elbow,elbow_locked_support,plank,shoulders,Abdominals,False
ea_alternate_biceps_curl_resistance_band,Alternate Biceps Curl Resistance Band,elbow,elbow_curl_load,curl,,Biceps,False
ea_alternate_biceps_curl_standing_dumbbells,Alternate Biceps Curl Standing Dumbbells,elbow,elbow_curl_load,curl,,Biceps,False
ea_alternate_hammer_curl_standing_dumbbells,Alternate Hammer Curl Standing Dumbbells,elbow,elbow_curl_load,hammer,biceps,Biceps,False
ea_alternate_leg_raise_from_reverse_plank_position,Alternate Leg Raise From Reverse Plank Position,elbow,elbow_locked_support,plank,"lower_back,core,quads",Abdominals,False
ea_alternate_single_leg_raises_plank,Alternate Single Leg Raises Plank,elbow,elbow_locked_support,plank,glutes,Legs,False
ea_alternating_biceps_curl_seated_dumbbells,Alternating Biceps Curl Seated Dumbbells,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_alternating_biceps_hammer_curl_resistance_band,Alternating Biceps Hammer Curl Resistance Band,elbow,elbow_curl_load,hammer,biceps,Biceps,False
ea_alternating_plank_lunge,Alternating Plank Lunge,elbow,elbow_locked_support,plank,"core,quads",Abdominals,False
ea_archer_pull_up,Archer Pull Up,elbow,elbow_flexion_load,pull up,"lats,biceps",Back,False
ea_archer_push_up,Archer Push Up,elbow,elbow_locked_support,push up,"chest,triceps",Chest,False
ea_assisted_chin_up_normal_width_reverse_grip,Assisted Chin Up Normal Width Reverse Grip,elbow,elbow_flexion_load,chin up,lats,Back,False
ea_assisted_chin_up_reverse_close_grip,Assisted Chin Up Reverse Close Grip,elbow,elbow_flexion_load,chin up,lats,Back,False
ea_assisted_chin_up_reverse_wide_grip,Assisted Chin Up Reverse Wide Grip,elbow,elbow_flexion_load,chin up,lats,Back,False
ea_assisted_chin_up_on_a_bench,Assisted Chin-up on a Bench,elbow,elbow_flexion_load,chin up,biceps,Back,False
ea_assisted_close_grip_underhand_chin_up,Assisted Close Grip Underhand Chin Up,elbow,elbow_flexion_load,chin up,lats,Back,False
ea_assisted_parallel_close_grip_pull_up,Assisted Parallel Close Grip Pull Up,elbow,elbow_flexion_load,pull up,lats,Back,False
ea_assisted_pull_up,Assisted Pull Up,elbow,elbow_flexion_load,pull up,lats,Back,False
ea_assisted_pull_up_close_grip,Assisted Pull Up Close Grip,elbow,elbow_flexion_load,pull up,lats,Back,False
ea_assisted_pull_up_normal_grip,Assisted Pull Up Normal Grip,elbow,elbow_flexion_load,pull up,lats,Back,False
ea_assisted_pull_up_wide_grip,Assisted Pull Up Wide Grip,elbow,elbow_flexion_load,pull up,lats,Back,False
ea_assisted_weighted_push_up,Assisted Weighted Push Up,elbow,elbow_locked_support,push up,chest,Chest,False
ea_band_assisted_chin_up_from_knee,Band Assisted Chin Up (from Knee),elbow,elbow_flexion_load,chin up,lats,Back,False
ea_band_bent_over_one_arm_kickback,Band Bent Over One Arm Kickback,elbow,elbow_extension_load,kickback,triceps,Triceps,False
ea_band_close_grip_row,Band Close Grip Row,elbow,elbow_extension_load,close grip,"shoulders,traps",Shoulders,False
ea_band_close_grip_biceps_curl,Band Close-grip Biceps Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_band_concentration_curl,Band Concentration Curl,elbow,elbow_curl_load,concentration,biceps,Biceps,False
ea_band_cross_chest_biceps_curl,Band Cross Chest Biceps Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_band_incline_alternate_hammer_curl,Band Incline Alternate Hammer Curl,elbow,elbow_curl_load,hammer,biceps,Biceps,False
ea_band_incline_biceps_curl,Band Incline Biceps Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_band_incline_hammer_curl,Band Incline Hammer Curl,elbow,elbow_curl_load,hammer,biceps,Biceps,False
ea_band_incline_triceps_extension,Band Incline Triceps Extension,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_band_kneeling_preacher_curl,Band Kneeling Preacher Curl,elbow,elbow_curl_load,preacher,biceps,Biceps,False
ea_band_prone_incline_curl,Band Prone Incline Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_band_prone_incline_hammer_curl,Band Prone Incline Hammer Curl,elbow,elbow_curl_load,hammer,biceps,Biceps,False
ea_band_pull_up,Band Pull Up,elbow,elbow_flexion_load,pull up,lats,Back,False
ea_band_push_up,Band Push-up,elbow,elbow_locked_support,push up,chest,Chest,False
ea_band_reverse_spider_curl,Band Reverse Spider Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_band_triceps_pushdown_single_arm,Band Triceps Pushdown Single Arm,elbow,elbow_extension_load,triceps,,Triceps,False
ea_band_wrist_curl_single_arm,Band Wrist Curl Single Arm,elbow,elbow_curl_load,curl,,Forearms,False
ea_barbell_alternate_biceps_curl,Barbell Alternate Biceps Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_barbell_bicep_curl_close_grip,Barbell Bicep Curl Close Grip,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_barbell_bicep_curl_normal_grip,Barbell Bicep Curl Normal Grip,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_barbell_bicep_curl_wide_grip,Barbell Bicep Curl Wide Grip,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_barbell_biceps_curl,Barbell Biceps Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_barbell_close_grip_press,Barbell Close Grip Press,elbow,elbow_extension_load,close grip,triceps,Triceps,False
ea_barbell_curl,Barbell Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_barbell_drag_biceps_curl,Barbell Drag Biceps Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_barbell_drag_curl,Barbell Drag Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_barbell_lap_curl,Barbell Lap Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_barbell_lying_triceps_extension,Barbell Lying Triceps Extension,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_barbell_lying_triceps_skull_crusher,Barbell Lying Triceps Skull Crusher,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_barbell_lying_triceps_skull_crushers,Barbell Lying Triceps Skull Crushers,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_barbell_palm_down_wrist_curl_over_a_bench,Barbell Palm Down Wrist Curl Over a Bench,elbow,elbow_curl_load,curl,forearms,Forearms,False
ea_barbell_preacher_curl,Barbell Preacher Curl,elbow,elbow_curl_load,preacher,biceps,Biceps,False
ea_barbell_pullover_to_triceps_extension,Barbell Pullover to Triceps Extension,elbow,elbow_extension_load,triceps,"chest,back",Chest,False
ea_barbell_reverse_biceps_curl,Barbell Reverse Biceps Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_barbell_reverse_close_grip_bench_press,Barbell Reverse Close Grip Bench Press,elbow,elbow_extension_load,close grip,"triceps,chest",Chest,False
ea_barbell_reverse_spider_curl,Barbell Reverse Spider Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_barbell_seated_concentration_biceps_curl,Barbell Seated Concentration Biceps Curl,elbow,elbow_curl_load,concentration,biceps,Biceps,False
ea_barbell_seated_overhead_triceps_press,Barbell Seated Overhead Triceps Press,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_barbell_single_arm_biceps_curl,Barbell Single Arm Biceps Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_barbell_snatch_deadlift_close_grip,Barbell Snatch Deadlift Close Grip,elbow,elbow_extension_load,close grip,"quads,glutes,lower_back",Back,False
ea_barbell_standing_back_wrist_curl,Barbell Standing Back Wrist Curl,elbow,elbow_curl_load,curl,forearms,Forearms,False
ea_barbell_standing_close_grip_curl,Barbell Standing Close Grip Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_barbell_standing_close_grip_military_press,Barbell Standing Close Grip Military Press,elbow,elbow_extension_load,close grip,shoulders,Shoulders,False
ea_barbell_standing_concentration_curl,Barbell Standing Concentration Curl,elbow,elbow_curl_load,concentration,biceps,Biceps,False
ea_barbell_standing_overhead_triceps_extension,Barbell Standing Overhead Triceps Extension,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_barbell_standing_wide_grip_biceps_curls,Barbell Standing Wide Grip Biceps Curls,elbow,elbow_curl_load,curls,biceps,Biceps,False
ea_barbell_wide_grip_biceps_curl,Barbell Wide Grip Biceps Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_barbell_wrist_curl_on_knees,Barbell Wrist Curl on Knees,elbow,elbow_curl_load,curl,forearms,Forearms,False
ea_barbell_wrist_curl_wide_legs,Barbell Wrist Curl Wide Legs,elbow,elbow_curl_load,curl,forearms,Forearms,False
ea_bear_crawls,Bear Crawls,elbow,elbow_locked_support,bear crawls,,Calisthenics-Cardio-Plyo-Functional,False
ea_bench_dip_knees_bent,Bench Dip (knees Bent),elbow,elbow_extension_load,dip,triceps,Triceps,False
ea_bench_dip_on_floor,Bench Dip on Floor,elbow,elbow_extension_load,dip,triceps,Triceps,False
ea_bench_pull_ups,Bench Pull-ups,elbow,elbow_flexion_load,pull ups,"back,biceps",Back,False
ea_bench_reverse_plank_hold,Bench Reverse Plank Hold,elbow,elbow_locked_support,plank,"triceps,shoulders",Yoga,False
ea_bench_triceps_dip_leg_curls,Bench Triceps Dip Leg Curls,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_bench_triceps_dip_straight_legs,Bench Triceps Dip Straight Legs,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_bicep_curl_low_cable_machine_normal_grip,Bicep Curl Low Cable Machine Normal Grip,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_biceps_curl_cable,Biceps Curl Cable,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_biceps_curl_cable_wide_grip,Biceps Curl Cable Wide Grip,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_biceps_curl_cable_wide_grip_crossover_machine,Biceps Curl Cable Wide Grip Crossover Machine,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_biceps_curl_front_step,Biceps Curl Front Step,elbow,elbow_curl_load,curl,"biceps,quads",Biceps,False
ea_biceps_curl_resistance_band,Biceps Curl Resistance Band,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_biceps_curl_to_shoulder_press_resistance_band,Biceps Curl to Shoulder Press Resistance Band,elbow,elbow_curl_load,curl,"biceps,shoulders",Biceps,False
ea_biceps_leg_concentration_curl,Biceps Leg Concentration Curl,elbow,elbow_curl_load,concentration,biceps,Biceps,False
ea_body_saw_plank,Body Saw Plank,elbow,elbow_locked_support,plank,shoulders,Yoga,False
ea_bodyweight_kneeling_push_up_row,Bodyweight Kneeling Push-up Row,elbow,elbow_locked_support,push up,"chest,triceps,back",Yoga,False
ea_bodyweight_kneeling_triceps_extension,Bodyweight Kneeling Triceps Extension,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_bodyweight_overhead_triceps_extension,Bodyweight Overhead Triceps Extension,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_bodyweight_triceps_extension,Bodyweight Triceps Extension,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_cable_alternate_triceps_extension,Cable Alternate Triceps Extension,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_cable_biceps_curl_ez_bar,Cable Biceps Curl (ez-bar),elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_cable_close_grip_curl,Cable Close Grip Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_cable_close_grip_front_lat_pulldown,Cable Close Grip Front Lat Pulldown,elbow,elbow_extension_load,close grip,lats,Back,False
ea_cable_cross_pushdown,Cable Cross Pushdown,elbow,elbow_extension_load,pushdown,,Triceps,False
ea_cable_individual_glute_kickbacks,Cable Individual Glute Kickbacks,elbow,elbow_extension_load,kickbacks,"glutes,hamstrings",Legs,False
ea_cable_lying_triceps_extension,Cable Lying Triceps Extension,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_cable_lying_triceps_extension_low,Cable Lying Triceps Extension (LOW),elbow,elbow_extension_load,triceps,triceps,Triceps,False
