id,title,region,rule,matched,primaryMuscles,vendorGroup,already
ea_4_punches_side_squat,4 Punches Side Squat,hip,hip_deep_flexion,squat,"quads,glutes",Calisthenics-Cardio-Plyo-Functional,False
ea_4_reverse_lunge_and_4_side_taps,4 Reverse Lunge and 4 Side Taps,hip,hip_deep_flexion,lunge,"quads,glutes",Legs,False
ea_air_swing_running,Air Swing Running,hip,hip_glute_dominant,swing,,Calisthenics-Cardio-Plyo-Functional,False
ea_air_swing_side_to_side_swing,Air Swing Side to Side Swing,hip,hip_glute_dominant,swing,,Calisthenics-Cardio-Plyo-Functional,False
ea_air_swing_walking,Air Swing Walking,hip,hip_glute_dominant,swing,,Calisthenics-Cardio-Plyo-Functional,False
ea_alternate_heel_touch_side_kick_squat,Alternate Heel Touch Side Kick Squat,hip,hip_deep_flexion,squat,"quads,glutes",Legs,False
ea_alternate_single_leg_raises_plank,Alternate Single Leg Raises Plank,hip,hip_glute_dominant,raises,glutes,Legs,False
ea_alternate_sprinter_lunge,Alternate Sprinter Lunge,hip,hip_deep_flexion,lunge,"quads,glutes,hamstrings",Yoga,False
ea_alternating_lunge_with_rotation,Alternating Lunge with Rotation,hip,hip_deep_flexion,lunge,"quads,glutes,hamstrings",Yoga,False
ea_alternating_plank_lunge,Alternating Plank Lunge,hip,hip_deep_flexion,lunge,"core,quads",Abdominals,False
ea_arms_lateral_raise_and_rotation_up,Arms Lateral Raise and Rotation Up,hip,hip_glute_dominant,raise,,Calisthenics-Cardio-Plyo-Functional,False
ea_assisted_bulgarian_split_squat,Assisted Bulgarian Split Squat,hip,hip_deep_flexion,bulgarian,"quads,glutes",Legs,False
ea_assisted_pistol_squats,Assisted Pistol Squats,hip,hip_deep_flexion,pistol,"quads,glutes",Legs,False
ea_back_and_forward_leg_swings,Back and Forward Leg Swings,hip,hip_glute_dominant,swings,"lower_back,glutes",Legs,False
ea_balance_board_lateral_squat,Balance Board Lateral Squat,hip,hip_deep_flexion,squat,"quads,glutes",Calisthenics-Cardio-Plyo-Functional,False
ea_ball_headlock_squat,Ball Headlock Squat,hip,hip_deep_flexion,squat,"quads,glutes",Legs,False
ea_band_bent_over_hip_extension,Band Bent-over Hip Extension,hip,hip_extension_load,hip extension,glutes,Legs,False
ea_band_cross_abduction,Band Cross Abduction,hip,hip_abduction,abduction,glutes,Legs,False
ea_band_deadlift,Band Deadlift,hip,hip_extension_load,deadlift,"quads,lower_back",Legs,False
ea_band_hip_adduction,Band Hip Adduction,hip,hip_abduction,adduction,,Legs,False
ea_band_kneeling_rear_kick,Band Kneeling Rear Kick,hip,hip_glute_dominant,kick,glutes,Legs,False
ea_band_leg_press,Band Leg Press,hip,hip_deep_flexion,leg press,quads,Legs,False
ea_band_single_leg_split_squat,Band Single Leg Split Squat,hip,hip_deep_flexion,split squat,"quads,glutes",Legs,False
ea_band_spanish_split_squat,Band Spanish Split Squat,hip,hip_deep_flexion,split squat,"quads,glutes",Legs,False
ea_band_squat_row,Band Squat Row,hip,hip_deep_flexion,squat,,Calisthenics-Cardio-Plyo-Functional,False
ea_barbell_bench_lateral_step_up,Barbell Bench Lateral Step-up,hip,hip_deep_flexion,step up,"quads,glutes",Legs,False
ea_barbell_bench_squats,Barbell Bench Squats,hip,hip_deep_flexion,squats,"quads,glutes",Legs,False
ea_barbell_box_squat,Barbell Box Squat,hip,hip_deep_flexion,squat,"quads,glutes",Legs,False
ea_barbell_bulgarian_split_squat,Barbell Bulgarian Split Squat,hip,hip_deep_flexion,bulgarian,"quads,glutes",Legs,False
ea_barbell_bulgarian_split_squat_left_front_back_view,Barbell Bulgarian Split Squat Left Front-back View,hip,hip_deep_flexion,bulgarian,"quads,glutes",Legs,False
ea_barbell_bulgarian_split_squat_left_side_view,Barbell Bulgarian Split Squat Left Side View,hip,hip_deep_flexion,bulgarian,"quads,glutes",Legs,False
ea_barbell_clean_and_jerk_split_squat,Barbell Clean and Jerk Split Squat,hip,hip_deep_flexion,split squat,"quads,glutes,shoulders",Powerlifting,False
ea_barbell_clean_deadlift,Barbell Clean Deadlift,hip,hip_extension_load,deadlift,"quads,glutes,hamstrings",Powerlifting,False
ea_barbell_clean_grip_front_squat,Barbell Clean Grip Front Squat,hip,hip_deep_flexion,squat,"quads,glutes",Legs,False
ea_barbell_coan_deadlift,Barbell Coan Deadlift,hip,hip_extension_load,deadlift,,Back,False
ea_barbell_curtsy_lunges,Barbell Curtsy Lunges,hip,hip_deep_flexion,lunges,"glutes,quads",Legs,False
ea_barbell_deadlift,Barbell Deadlift,hip,hip_extension_load,deadlift,"glutes,quads,hamstrings",Powerlifting,False
ea_barbell_deadlift_front_pov,Barbell Deadlift (front POV),hip,hip_extension_load,deadlift,"glutes,quads,hamstrings",Powerlifting,False
ea_barbell_deadlift_side_pov,Barbell Deadlift (side POV),hip,hip_extension_load,deadlift,"glutes,quads,hamstrings",Powerlifting,False
ea_barbell_deadlift_360_degrees,Barbell Deadlift 360 Degrees,hip,hip_extension_load,deadlift,"glutes,quads,hamstrings",Back,False
ea_barbell_deadlift_high_pull,Barbell Deadlift High Pull,hip,hip_extension_load,deadlift,"quads,glutes,adductors,shoulders",Back,False
ea_barbell_feet_elevated_figure_four_glute_bridge,Barbell Feet Elevated Figure Four Glute Bridge,hip,hip_extension_load,glute bridge,glutes,Legs,False
ea_barbell_feet_elevated_glute_bridge,Barbell Feet Elevated Glute Bridge,hip,hip_extension_load,glute bridge,glutes,Legs,False
ea_barbell_feet_elevated_single_leg_glute_bridge,Barbell Feet Elevated Single Leg Glute Bridge,hip,hip_extension_load,glute bridge,glutes,Legs,False
ea_barbell_feet_elevated_staggered_glute_bridge,Barbell Feet Elevated Staggered Glute Bridge,hip,hip_extension_load,glute bridge,glutes,Legs,False
ea_barbell_front_bench_squat,Barbell Front Bench Squat,hip,hip_deep_flexion,squat,"quads,glutes",Legs,False
ea_barbell_front_chest_bench_squat,Barbell Front Chest Bench Squat,hip,hip_deep_flexion,squat,"quads,glutes",Legs,False
ea_barbell_front_chest_lunges,Barbell Front Chest Lunges,hip,hip_deep_flexion,lunges,"quads,glutes",Legs,False
ea_barbell_front_chest_squat,Barbell Front Chest Squat,hip,hip_deep_flexion,squat,"quads,glutes",Legs,False
ea_barbell_front_lunges_with_small_pause,Barbell Front Lunges with Small Pause,hip,hip_deep_flexion,lunges,"quads,glutes",Legs,False
ea_barbell_front_rack_lunge,Barbell Front Rack Lunge,hip,hip_deep_flexion,lunge,"quads,glutes",Legs,False
ea_barbell_front_squats,Barbell Front Squats,hip,hip_deep_flexion,squats,"quads,glutes",Legs,False
ea_barbell_full_squat,Barbell Full Squat,hip,hip_deep_flexion,squat,"quads,glutes",Legs,False
ea_barbell_full_squat_side_pov,Barbell Full Squat Side Pov,hip,hip_deep_flexion,squat,"quads,glutes",Legs,False
ea_barbell_full_squat_wide,Barbell Full Squat Wide,hip,hip_deep_flexion,squat,"quads,glutes",Legs,False
ea_barbell_full_squat_back,Barbell Full Squat(back),hip,hip_deep_flexion,squat,"quads,glutes",Legs,False
ea_barbell_full_squat_with_rack,Barbell Full Squat(with Rack),hip,hip_deep_flexion,squat,"quads,glutes",Legs,False
ea_barbell_full_zercher_squat,Barbell Full Zercher Squat,hip,hip_deep_flexion,squat,"quads,glutes",Legs,False
ea_barbell_glute_bridge,Barbell Glute Bridge,hip,hip_extension_load,glute bridge,glutes,Legs,False
ea_barbell_glute_bridge_hands_on_bar,Barbell Glute Bridge (hands on Bar),hip,hip_extension_load,glute bridge,glutes,Legs,False
ea_barbell_good_morning,Barbell Good Morning,hip,hip_extension_load,good morning,lower_back,Back,False
ea_barbell_hip_thrust,Barbell Hip Thrust,hip,hip_extension_load,hip thrust,glutes,Legs,False
ea_barbell_incline_shoulders_press_inside_squat_cage,Barbell Incline Shoulders Press (inside Squat Cage),hip,hip_deep_flexion,squat,shoulders,Shoulders,False
ea_barbell_jefferson_split_squat,Barbell Jefferson Split Squat,hip,hip_deep_flexion,split squat,"quads,glutes",Legs,False
