id,title,region,rule,matched,primaryMuscles,vendorGroup,already
ea_180_jump_turns,180 Jump Turns,knee,knee_impact,jump,,Calisthenics-Cardio-Plyo-Functional,True
ea_4_corners_side_step,4 Corners Side Step,knee,knee_quad_dominant,step,"quads,hamstrings,glutes",Calisthenics-Cardio-Plyo-Functional,True
ea_4_punches_side_squat,4 Punches Side Squat,knee,knee_loaded_flexion,squat,"quads,glutes",Calisthenics-Cardio-Plyo-Functional,True
ea_4_reverse_lunge_and_4_side_taps,4 Reverse Lunge and 4 Side Taps,knee,knee_loaded_flexion,lunge,"quads,glutes",Legs,True
ea_45_degrees_step_out,45 Degrees Step Out,knee,knee_quad_dominant,step,"quads,glutes",Legs,True
ea_agility_ladder_advanced_hop_position,Agility Ladder Advanced Hop Position,knee,knee_impact,hop,,Calisthenics-Cardio-Plyo-Functional,True
ea_agility_ladder_lateral_movement_with_double_hop,Agility Ladder Lateral Movement with Double Hop,knee,knee_impact,hop,,Calisthenics-Cardio-Plyo-Functional,True
ea_air_swing_running,Air Swing Running,knee,knee_impact,running,,Calisthenics-Cardio-Plyo-Functional,True
ea_alternate_heel_touch_side_kick_squat,Alternate Heel Touch Side Kick Squat,knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_alternate_sprinter_lunge,Alternate Sprinter Lunge,knee,knee_loaded_flexion,lunge,"quads,glutes,hamstrings",Yoga,True
ea_alternating_lunge_with_rotation,Alternating Lunge with Rotation,knee,knee_loaded_flexion,lunge,"quads,glutes,hamstrings",Yoga,True
ea_alternating_plank_lunge,Alternating Plank Lunge,knee,knee_loaded_flexion,lunge,"core,quads",Abdominals,True
ea_alternating_step_out,Alternating Step Out,knee,knee_quad_dominant,step,"quads,glutes",Legs,True
ea_archer_step_back,Archer Step Back,knee,knee_quad_dominant,step,"quads,glutes,hamstrings,shoulders",Yoga,True
ea_assault_airbike_sprint_speed,Assault Airbike Sprint Speed,knee,knee_impact,sprint,"quads,hamstrings,glutes",Calisthenics-Cardio-Plyo-Functional,True
ea_assisted_bulgarian_split_squat,Assisted Bulgarian Split Squat,knee,knee_loaded_flexion,bulgarian,"quads,glutes",Legs,True
ea_assisted_pistol_squats,Assisted Pistol Squats,knee,knee_loaded_flexion,pistol,"quads,glutes",Legs,True
ea_balance_board_lateral_squat,Balance Board Lateral Squat,knee,knee_loaded_flexion,squat,"quads,glutes",Calisthenics-Cardio-Plyo-Functional,True
ea_ball_headlock_squat,Ball Headlock Squat,knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_band_kneeling_crunch,Band Kneeling Crunch,knee,knee_kneeling,kneeling,core,Abdominals,True
ea_band_kneeling_lat_pulldown,Band Kneeling Lat Pulldown,knee,knee_kneeling,kneeling,lats,Back,True
ea_band_kneeling_preacher_curl,Band Kneeling Preacher Curl,knee,knee_kneeling,kneeling,biceps,Biceps,True
ea_band_kneeling_rear_kick,Band Kneeling Rear Kick,knee,knee_kneeling,kneeling,glutes,Legs,True
ea_band_kneeling_single_arm_high_row,Band Kneeling Single Arm High Row,knee,knee_kneeling,kneeling,lats,Back,True
ea_band_leg_press,Band Leg Press,knee,knee_loaded_flexion,leg press,quads,Legs,True
ea_band_single_leg_split_squat,Band Single Leg Split Squat,knee,knee_loaded_flexion,split squat,"quads,glutes",Legs,True
ea_band_spanish_split_squat,Band Spanish Split Squat,knee,knee_loaded_flexion,split squat,"quads,glutes",Legs,True
ea_band_squat_row,Band Squat Row,knee,knee_loaded_flexion,squat,,Calisthenics-Cardio-Plyo-Functional,True
ea_band_standing_leg_curl,Band Standing Leg Curl,knee,knee_isolation,leg curl,hamstrings,Legs,True
ea_barbell_bench_lateral_step_up,Barbell Bench Lateral Step-up,knee,knee_loaded_flexion,step up,"quads,glutes",Legs,True
ea_barbell_bench_squats,Barbell Bench Squats,knee,knee_loaded_flexion,squats,"quads,glutes",Legs,True
ea_barbell_box_squat,Barbell Box Squat,knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_barbell_bulgarian_split_squat,Barbell Bulgarian Split Squat,knee,knee_loaded_flexion,bulgarian,"quads,glutes",Legs,True
ea_barbell_bulgarian_split_squat_left_front_back_view,Barbell Bulgarian Split Squat Left Front-back View,knee,knee_loaded_flexion,bulgarian,"quads,glutes",Legs,True
ea_barbell_bulgarian_split_squat_left_side_view,Barbell Bulgarian Split Squat Left Side View,knee,knee_loaded_flexion,bulgarian,"quads,glutes",Legs,True
ea_barbell_calf_jump,Barbell Calf Jump,knee,knee_impact,jump,calves,Legs,True
ea_barbell_clean_and_jerk_split_squat,Barbell Clean and Jerk Split Squat,knee,knee_loaded_flexion,split squat,"quads,glutes,shoulders",Powerlifting,True
ea_barbell_clean_and_press,Barbell Clean and Press,knee,knee_quad_dominant,press,"shoulders,quads,glutes",Powerlifting,True
ea_barbell_clean_grip_front_squat,Barbell Clean Grip Front Squat,knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_barbell_curtsy_lunges,Barbell Curtsy Lunges,knee,knee_loaded_flexion,lunges,"glutes,quads",Legs,True
ea_barbell_front_bench_squat,Barbell Front Bench Squat,knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_barbell_front_chest_bench_squat,Barbell Front Chest Bench Squat,knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_barbell_front_chest_lunges,Barbell Front Chest Lunges,knee,knee_loaded_flexion,lunges,"quads,glutes",Legs,True
ea_barbell_front_chest_squat,Barbell Front Chest Squat,knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_barbell_front_lunges_with_small_pause,Barbell Front Lunges with Small Pause,knee,knee_loaded_flexion,lunges,"quads,glutes",Legs,True
ea_barbell_front_rack_lunge,Barbell Front Rack Lunge,knee,knee_loaded_flexion,lunge,"quads,glutes",Legs,True
ea_barbell_front_squats,Barbell Front Squats,knee,knee_loaded_flexion,squats,"quads,glutes",Legs,True
ea_barbell_full_squat,Barbell Full Squat,knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_barbell_full_squat_side_pov,Barbell Full Squat Side Pov,knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_barbell_full_squat_wide,Barbell Full Squat Wide,knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_barbell_full_squat_back,Barbell Full Squat(back),knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_barbell_full_squat_with_rack,Barbell Full Squat(with Rack),knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_barbell_full_zercher_squat,Barbell Full Zercher Squat,knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_barbell_incline_shoulders_press_inside_squat_cage,Barbell Incline Shoulders Press (inside Squat Cage),knee,knee_loaded_flexion,squat,shoulders,Shoulders,True
