id,title,region,rule,matched,primaryMuscles,vendorGroup,already
ea_3_4_sit_up,3-4 Sit-up,lower_back,lumbar_spinal_flexion,sit up,core,Abdominals,True
ea_45_degree_bicycle_twisting_crunch,45 Degree Bicycle Twisting Crunch,lower_back,lumbar_spinal_flexion,crunch,core,Abdominals,True
ea_45_degree_hyperextension_arms_in_front_of_chest,45 Degree Hyperextension (arms in Front of Chest),lower_back,lumbar_extension,hyperextension,"lower_back,glutes",Back,True
ea_45_degree_hyperextension_arms_to_chest,45 Degree Hyperextension Arms to Chest,lower_back,lumbar_extension,hyperextension,"lower_back,glutes",Back,True
ea_45_degree_twisting_hyperextension,45 Degree Twisting Hyperextension,lower_back,lumbar_extension,hyperextension,"lower_back,core",Abdominals,True
ea_ab_mat_sit_up,Ab Mat Sit-up,lower_back,lumbar_spinal_flexion,sit up,core,Abdominals,True
ea_abdominal_crunches,Abdominal Crunches,lower_back,lumbar_spinal_flexion,crunches,core,Abdominals,True
ea_abdominal_crunches_machine,Abdominal Crunches Machine,lower_back,lumbar_spinal_flexion,crunches,core,Abdominals,True
ea_abdominal_crunches_with_hold,Abdominal Crunches with Hold,lower_back,lumbar_spinal_flexion,crunches,core,Abdominals,True
ea_air_bike_crunch,Air Bike Crunch,lower_back,lumbar_spinal_flexion,crunch,core,Abdominals,True
ea_air_punches_march,Air Punches March,lower_back,lumbar_primary,lower_back,"quads,lower_back,shoulders",Calisthenics-Cardio-Plyo-Functional,True
ea_air_swing_running,Air Swing Running,lower_back,lumbar_hinge,swing,,Calisthenics-Cardio-Plyo-Functional,True
ea_air_swing_side_to_side_swing,Air Swing Side to Side Swing,lower_back,lumbar_hinge,swing,,Calisthenics-Cardio-Plyo-Functional,True
ea_air_swing_walking,Air Swing Walking,lower_back,lumbar_hinge,swing,,Calisthenics-Cardio-Plyo-Functional,True
ea_air_twisting_crunch,Air Twisting Crunch,lower_back,lumbar_spinal_flexion,crunch,core,Abdominals,True
ea_alternate_front_kick_in_place,Alternate Front Kick in Place,lower_back,lumbar_primary,lower_back,"quads,lower_back",Calisthenics-Cardio-Plyo-Functional,True
ea_alternate_leg_pull,Alternate Leg Pull,lower_back,lumbar_primary,lower_back,"core,lower_back",Abdominals,True
ea_alternate_leg_raise,Alternate Leg Raise,lower_back,lumbar_primary,lower_back,"lower_back,quads",Abdominals,True
ea_alternate_leg_raise_from_reverse_plank_position,Alternate Leg Raise From Reverse Plank Position,lower_back,lumbar_primary,lower_back,"lower_back,core,quads",Abdominals,True
ea_alternate_leg_raise_with_head_up,Alternate Leg Raise with Head Up,lower_back,lumbar_primary,lower_back,"lower_back,core,quads",Abdominals,True
ea_alternate_lying_floor_leg_raise,Alternate Lying Floor Leg Raise,lower_back,lumbar_primary,lower_back,"lower_back,core,quads",Abdominals,True
