id,title,region,rule,matched,primaryMuscles,vendorGroup,already
ea_3_4_sit_up,3-4 Sit-up,neck,neck_flexion_load,sit up,core,Abdominals,False
ea_45_degree_bicycle_twisting_crunch,45 Degree Bicycle Twisting Crunch,neck,neck_flexion_load,crunch,core,Abdominals,False
ea_ab_mat_sit_up,Ab Mat Sit-up,neck,neck_flexion_load,sit up,core,Abdominals,False
ea_abdominal_crunches,Abdominal Crunches,neck,neck_flexion_load,crunches,core,Abdominals,False
ea_abdominal_crunches_machine,Abdominal Crunches Machine,neck,neck_flexion_load,crunches,core,Abdominals,False
ea_abdominal_crunches_with_hold,Abdominal Crunches with Hold,neck,neck_flexion_load,crunches,core,Abdominals,False
ea_air_bike_crunch,Air Bike Crunch,neck,neck_flexion_load,crunch,core,Abdominals,False
ea_air_twisting_crunch,Air Twisting Crunch,neck,neck_flexion_load,crunch,core,Abdominals,False
ea_alternate_oblique_crunch,Alternate Oblique Crunch,neck,neck_flexion_load,crunch,core,Abdominals,False
ea_alternating_oblique_sit_ups,Alternating Oblique Sit-ups,neck,neck_flexion_load,sit ups,core,Abdominals,False
ea_assisted_sit_ups,Assisted Sit Ups,neck,neck_flexion_load,sit ups,core,Abdominals,False
ea_assisted_sit_up,Assisted Sit-up,neck,neck_flexion_load,sit up,core,Abdominals,False
ea_backward_forward_turn_to_side_neck_stretch,Backward Forward Turn to Side Neck Stretch,neck,neck_flexion_load,neck,,Stretching - Mobility,False
ea_ball_sit_up,Ball Sit-up,neck,neck_flexion_load,sit up,core,Abdominals,False
ea_band_behind_neck_shoulder_press,Band Behind Neck Shoulder Press,neck,neck_flexion_load,neck,shoulders,Shoulders,False
ea_band_bicycle_crunch,Band Bicycle Crunch,neck,neck_flexion_load,crunch,core,Abdominals,False
ea_band_decline_sit_up,Band Decline Sit Up,neck,neck_flexion_load,sit up,core,Abdominals,False
ea_band_horizontal_shrug,Band Horizontal Shrug,neck,neck_trap_load,shrug,traps,Shoulders,False
ea_band_kneeling_crunch,Band Kneeling Crunch,neck,neck_flexion_load,crunch,core,Abdominals,False
