id,title,region,rule,matched,primaryMuscles,vendorGroup,already
ea_archer_pull_up,Archer Pull Up,shoulder,shoulder_overhead_pull,pull up,"lats,biceps",Back,True
ea_archer_push_up,Archer Push Up,shoulder,shoulder_pressing,push up,"chest,triceps",Chest,True
ea_arms_lateral_raise_and_rotation_up,Arms Lateral Raise and Rotation Up,shoulder,shoulder_abduction,lateral raise,,Calisthenics-Cardio-Plyo-Functional,True
ea_arnold_press_cable_resistance_band_standing,Arnold Press Cable Resistance Band Standing,shoulder,shoulder_overhead,arnold,shoulders,Shoulders,True
ea_arnold_press_dumbbell,Arnold Press Dumbbell,shoulder,shoulder_overhead,arnold,,Shoulders,True
ea_assisted_chin_up_normal_width_reverse_grip,Assisted Chin Up Normal Width Reverse Grip,shoulder,shoulder_overhead_pull,chin up,lats,Back,True
ea_assisted_chin_up_reverse_close_grip,Assisted Chin Up Reverse Close Grip,shoulder,shoulder_overhead_pull,chin up,lats,Back,True
ea_assisted_chin_up_reverse_wide_grip,Assisted Chin Up Reverse Wide Grip,shoulder,shoulder_overhead_pull,chin up,lats,Back,True
ea_assisted_chin_up_on_a_bench,Assisted Chin-up on a Bench,shoulder,shoulder_overhead_pull,chin up,biceps,Back,True
ea_assisted_close_grip_underhand_chin_up,Assisted Close Grip Underhand Chin Up,shoulder,shoulder_overhead_pull,chin up,lats,Back,True
ea_assisted_parallel_close_grip_pull_up,Assisted Parallel Close Grip Pull Up,shoulder,shoulder_overhead_pull,pull up,lats,Back,True
ea_assisted_pull_up,Assisted Pull Up,shoulder,shoulder_overhead_pull,pull up,lats,Back,True
ea_assisted_pull_up_close_grip,Assisted Pull Up Close Grip,shoulder,shoulder_overhead_pull,pull up,lats,Back,True
ea_assisted_pull_up_normal_grip,Assisted Pull Up Normal Grip,shoulder,shoulder_overhead_pull,pull up,lats,Back,True
ea_assisted_pull_up_wide_grip,Assisted Pull Up Wide Grip,shoulder,shoulder_overhead_pull,pull up,lats,Back,True
ea_assisted_weighted_push_up,Assisted Weighted Push Up,shoulder,shoulder_pressing,push up,chest,Chest,True
ea_backhand_raise,Backhand Raise,shoulder,shoulder_abduction,raise,"shoulders,traps",Shoulders,True
ea_band_assisted_chin_up_from_knee,Band Assisted Chin Up (from Knee),shoulder,shoulder_overhead_pull,chin up,lats,Back,True
ea_band_behind_neck_shoulder_press,Band Behind Neck Shoulder Press,shoulder,shoulder_overhead,shoulder press,shoulders,Shoulders,True
ea_band_bench_press,Band Bench Press,shoulder,shoulder_pressing,bench press,chest,Chest,True
ea_band_chest_fly,Band Chest Fly,shoulder,shoulder_abduction,fly,chest,Chest,True
ea_band_cross_body_one_arm_chest_press,Band Cross Body One Arm Chest Press,shoulder,shoulder_pressing,chest press,chest,Chest,True
ea_band_face_pull,Band Face Pull,shoulder,shoulder_abduction,face pull,"traps,shoulders",Shoulders,True
ea_band_fixed_back_underhand_pulldown,Band Fixed Back Underhand Pulldown,shoulder,shoulder_overhead_pull,pulldown,lats,Back,True
ea_band_front_face_pull,Band Front Face Pull,shoulder,shoulder_abduction,face pull,"shoulders,traps",Shoulders,True
ea_band_front_raise,Band Front Raise,shoulder,shoulder_abduction,front raise,shoulders,Shoulders,True
ea_band_high_fly,Band High Fly,shoulder,shoulder_abduction,fly,chest,Chest,True
ea_band_incline_bench_press,Band Incline Bench Press,shoulder,shoulder_pressing,bench press,chest,Chest,True
ea_band_incline_fly,Band Incline Fly,shoulder,shoulder_abduction,fly,chest,Chest,True
ea_band_incline_hammer_press,Band Incline Hammer Press,shoulder,shoulder_pressing,press,chest,Chest,True
ea_band_incline_palms_back_press,Band Incline Palms Back Press,shoulder,shoulder_pressing,press,chest,Chest,True
ea_band_incline_t_raise,Band Incline T Raise,shoulder,shoulder_abduction,raise,shoulders,Shoulders,True
ea_band_incline_y_raise,Band Incline Y Raise,shoulder,shoulder_abduction,raise,shoulders,Shoulders,True
ea_band_kneeling_lat_pulldown,Band Kneeling Lat Pulldown,shoulder,shoulder_overhead_pull,lat pulldown,lats,Back,True
ea_band_low_alternate_chest_press,Band Low Alternate Chest Press,shoulder,shoulder_pressing,chest press,chest,Chest,True
ea_band_low_chest_fly,Band Low Chest Fly,shoulder,shoulder_abduction,fly,chest,Chest,True
ea_band_low_chest_press,Band Low Chest Press,shoulder,shoulder_pressing,chest press,chest,Chest,True
ea_band_lying_press_down,Band Lying Press Down,shoulder,shoulder_pressing,press,,Triceps,True
ea_band_pallof_press,Band Pallof Press,shoulder,shoulder_pressing,press,,Chest,True
ea_band_palloff_press,Band Palloff Press,shoulder,shoulder_pressing,press,chest,Chest,True
ea_band_pull_up,Band Pull Up,shoulder,shoulder_overhead_pull,pull up,lats,Back,True
ea_band_push_up,Band Push-up,shoulder,shoulder_pressing,push up,chest,Chest,True
ea_band_reverse_fly,Band Reverse Fly,shoulder,shoulder_abduction,reverse fly,shoulders,Shoulders,True
ea_band_seated_lateral_raise,Band Seated Lateral Raise,shoulder,shoulder_abduction,lateral raise,shoulders,Shoulders,True
ea_band_seated_neutral_grip_shoulders_press,Band Seated Neutral Grip Shoulders Press,shoulder,shoulder_pressing,press,shoulders,Shoulders,True
ea_band_seated_shoulder_press,Band Seated Shoulder Press,shoulder,shoulder_overhead,shoulder press,shoulders,Shoulders,True
ea_band_single_arm_overhead_press,Band Single Arm Overhead Press,shoulder,shoulder_overhead,overhead,shoulders,Shoulders,True
ea_band_single_arm_pec_fly,Band Single Arm Pec Fly,shoulder,shoulder_abduction,fly,chest,Chest,True
ea_band_standing_rear_delt_row,Band Standing Rear Delt Row,shoulder,shoulder_abduction,rear delt,shoulders,Shoulders,True
ea_band_y_raise,Band Y Raise,shoulder,shoulder_abduction,raise,shoulders,Shoulders,True
ea_barbell_behind_neck_push_press,Barbell Behind Neck Push Press,shoulder,shoulder_overhead,push press,,Shoulders,True
ea_barbell_behind_the_back_push_press_single_arm_balance,Barbell Behind the Back Push Press Single Arm Balance,shoulder,shoulder_overhead,push press,shoulders,Shoulders,True
ea_barbell_bench_press,Barbell Bench Press,shoulder,shoulder_pressing,bench press,chest,Chest,True
ea_barbell_bench_press_decline,Barbell Bench Press Decline,shoulder,shoulder_pressing,bench press,chest,Chest,True
ea_barbell_bench_press_incline,Barbell Bench Press Incline,shoulder,shoulder_pressing,bench press,chest,Chest,True
ea_barbell_bent_over_reverse_raise_skier,Barbell Bent Over Reverse Raise (skier),shoulder,shoulder_abduction,raise,traps,Shoulders,True
ea_barbell_clean_and_jerk,Barbell Clean and Jerk,shoulder,shoulder_overhead,jerk,"quads,glutes,shoulders",Powerlifting,True
ea_barbell_clean_and_jerk_split_squat,Barbell Clean and Jerk Split Squat,shoulder,shoulder_overhead,jerk,"quads,glutes,shoulders",Powerlifting,True
ea_barbell_clean_and_press,Barbell Clean and Press,shoulder,shoulder_pressing,press,"shoulders,quads,glutes",Powerlifting,True
ea_barbell_close_grip_press,Barbell Close Grip Press,shoulder,shoulder_pressing,press,triceps,Triceps,True
ea_barbell_floor_chest_press,Barbell Floor Chest Press,shoulder,shoulder_pressing,chest press,chest,Chest,True
ea_barbell_hooklying_bench_press,Barbell Hooklying Bench Press,shoulder,shoulder_pressing,bench press,,Chest,True
ea_barbell_hooklying_bench_press_close_elbows,Barbell Hooklying Bench Press Close Elbows,shoulder,shoulder_pressing,bench press,,Chest,True
ea_barbell_incline_shoulders_press,Barbell Incline Shoulders Press,shoulder,shoulder_pressing,press,shoulders,Shoulders,True
ea_barbell_incline_shoulders_press_inside_squat_cage,Barbell Incline Shoulders Press (inside Squat Cage),shoulder,shoulder_pressing,press,shoulders,Shoulders,True
ea_barbell_inclined_bench_press,Barbell Inclined Bench Press,shoulder,shoulder_pressing,bench press,,Chest,True
ea_barbell_jm_bench_press,Barbell JM Bench Press,shoulder,shoulder_pressing,bench press,triceps,Chest,True
ea_barbell_landmine_chest_press,Barbell Landmine Chest Press,shoulder,shoulder_pressing,chest press,,Chest,True
ea_barbell_larsen_bench_press,Barbell Larsen Bench Press,shoulder,shoulder_pressing,bench press,,Chest,True
ea_barbell_overhead_lunges,Barbell Overhead Lunges,shoulder,shoulder_overhead,overhead,"quads,glutes,shoulders",Legs,True
ea_barbell_overhead_shrug,Barbell Overhead Shrug,shoulder,shoulder_overhead,overhead,traps,Shoulders,True
ea_barbell_overhead_squat,Barbell Overhead Squat,shoulder,shoulder_overhead,overhead,"quads,glutes,shoulders",Legs,True
ea_barbell_pause_incline_bench_press,Barbell Pause Incline Bench Press,shoulder,shoulder_pressing,bench press,,Chest,True
ea_barbell_power_jerk,Barbell Power Jerk,shoulder,shoulder_overhead,jerk,"shoulders,quads,glutes",Powerlifting,True
ea_barbell_power_snatch,Barbell Power Snatch,shoulder,shoulder_overhead,snatch,"quads,glutes,hamstrings,shoulders",Powerlifting,True
ea_barbell_press_under,Barbell Press Under,shoulder,shoulder_pressing,press,,Powerlifting,True
ea_barbell_pullover_to_triceps_extension,Barbell Pullover to Triceps Extension,shoulder,shoulder_overhead_pull,pullover,"chest,back",Chest,True
ea_barbell_rear_delt_raise,Barbell Rear Delt Raise,shoulder,shoulder_abduction,rear delt,shoulders,Shoulders,True
ea_barbell_reverse_close_grip_bench_press,Barbell Reverse Close Grip Bench Press,shoulder,shoulder_pressing,bench press,"triceps,chest",Chest,True
ea_barbell_reverse_grip_bench_press,Barbell Reverse Grip Bench Press,shoulder,shoulder_pressing,bench press,"chest,triceps",Chest,True
ea_barbell_seated_behind_neck_military_press,Barbell Seated Behind Neck Military Press,shoulder,shoulder_overhead,military,shoulders,Shoulders,True
ea_barbell_seated_military_press,Barbell Seated Military Press,shoulder,shoulder_overhead,military,,Shoulders,True
ea_barbell_seated_overhead_press,Barbell Seated Overhead Press,shoulder,shoulder_overhead,overhead,shoulders,Shoulders,True
ea_barbell_seated_overhead_triceps_press,Barbell Seated Overhead Triceps Press,shoulder,shoulder_overhead,overhead,triceps,Triceps,True
ea_barbell_smith_chest_press,Barbell Smith Chest Press,shoulder,shoulder_pressing,chest press,chest,Chest,True
ea_barbell_snatch,Barbell Snatch,shoulder,shoulder_overhead,snatch,"shoulders,quads,glutes",Powerlifting,True
ea_barbell_snatch_balance,Barbell Snatch Balance,shoulder,shoulder_overhead,snatch,"shoulders,quads,glutes",Powerlifting,True
ea_barbell_snatch_deadlift_close_grip,Barbell Snatch Deadlift Close Grip,shoulder,shoulder_overhead,snatch,"quads,glutes,lower_back",Back,True
ea_barbell_snatch_deadlift_wide_grip,Barbell Snatch Deadlift Wide Grip,shoulder,shoulder_overhead,snatch,"quads,glutes,lower_back",Back,True
ea_barbell_snatch_from_blocks,Barbell Snatch From Blocks,shoulder,shoulder_overhead,snatch,"shoulders,quads,glutes",Powerlifting,True
ea_barbell_snatch_pull,Barbell Snatch Pull,shoulder,shoulder_overhead,snatch,"quads,glutes",Powerlifting,True
ea_barbell_split_jerk,Barbell Split Jerk,shoulder,shoulder_overhead,jerk,"shoulders,quads,glutes",Powerlifting,True
ea_barbell_spoto_press,Barbell Spoto Press,shoulder,shoulder_pressing,press,,Chest,True
ea_barbell_standing_close_grip_military_press,Barbell Standing Close Grip Military Press,shoulder,shoulder_overhead,military,shoulders,Shoulders,True
ea_barbell_standing_military_press,Barbell Standing Military Press,shoulder,shoulder_overhead,military,"shoulders,triceps",Shoulders,True
ea_barbell_standing_overhead_triceps_extension,Barbell Standing Overhead Triceps Extension,shoulder,shoulder_overhead,overhead,triceps,Triceps,True
ea_barbell_standing_shoulder_press,Barbell Standing Shoulder Press,shoulder,shoulder_overhead,shoulder press,"shoulders,triceps",Shoulders,True
ea_barbell_standing_wide_grip_military_press,Barbell Standing Wide Grip Military Press,shoulder,shoulder_overhead,military,"shoulders,triceps",Shoulders,True
ea_barbell_wide_bench_press,Barbell Wide Bench Press,shoulder,shoulder_pressing,bench press,chest,Chest,True
ea_barbell_wide_grip_upright_row,Barbell Wide Grip Upright Row,shoulder,shoulder_abduction,upright row,shoulders,Back,True
ea_barbell_z_press,Barbell Z Press,shoulder,shoulder_pressing,press,shoulders,Shoulders,True
ea_behind_neck_press_resistance_band_cable,Behind Neck Press Resistance Band Cable,shoulder,shoulder_pressing,press,shoulders,Shoulders,True
ea_bench_dip_knees_bent,Bench Dip (knees Bent),shoulder,shoulder_pressing,dip,triceps,Triceps,True
ea_bench_dip_on_floor,Bench Dip on Floor,shoulder,shoulder_pressing,dip,triceps,Triceps,True
ea_bench_pull_ups,Bench Pull-ups,shoulder,shoulder_overhead_pull,pull ups,"back,biceps",Back,True
ea_bench_triceps_dip_leg_curls,Bench Triceps Dip Leg Curls,shoulder,shoulder_pressing,dip,triceps,Triceps,True
ea_bench_triceps_dip_straight_legs,Bench Triceps Dip Straight Legs,shoulder,shoulder_pressing,dip,triceps,Triceps,True
ea_bent_over_rear_delt_fly_dumbbell,Bent Over Rear Delt Fly Dumbbell,shoulder,shoulder_abduction,rear delt,shoulders,Shoulders,True
ea_bent_over_rear_deltoid_fly_resistance_band,Bent Over Rear Deltoid Fly Resistance Band,shoulder,shoulder_abduction,fly,shoulders,Shoulders,True
ea_biceps_curl_to_shoulder_press_resistance_band,Biceps Curl to Shoulder Press Resistance Band,shoulder,shoulder_overhead,shoulder press,"biceps,shoulders",Biceps,True
ea_bodyweight_bent_over_rear_delt_fly,Bodyweight Bent Over Rear Delt Fly,shoulder,shoulder_abduction,rear delt,shoulders,Shoulders,True
ea_bodyweight_full_squat_with_overhead_front_raise,Bodyweight Full Squat with Overhead Front Raise,shoulder,shoulder_overhead,overhead,"quads,shoulders,glutes",Calisthenics-Cardio-Plyo-Functional,True
ea_bodyweight_full_squat_with_overhead_press,Bodyweight Full Squat with Overhead Press,shoulder,shoulder_overhead,overhead,"quads,glutes,shoulders",Legs,True
ea_bodyweight_kneeling_push_up_row,Bodyweight Kneeling Push-up Row,shoulder,shoulder_pressing,push up,"chest,triceps,back",Yoga,True
ea_bodyweight_overhead_squat,Bodyweight Overhead Squat,shoulder,shoulder_overhead,overhead,"quads,shoulders,glutes",Legs,True
ea_bodyweight_overhead_triceps_extension,Bodyweight Overhead Triceps Extension,shoulder,shoulder_overhead,overhead,triceps,Triceps,True
ea_bodyweight_rear_lunge_front_raise,Bodyweight Rear Lunge Front Raise,shoulder,shoulder_abduction,front raise,"quads,shoulders,glutes",Legs,True
ea_bodyweight_standing_fly,Bodyweight Standing Fly,shoulder,shoulder_abduction,fly,"chest,shoulders",Chest,True
ea_bodyweight_standing_military_press,Bodyweight Standing Military Press,shoulder,shoulder_overhead,military,shoulders,Shoulders,True
ea_bodyweight_standing_military_press_wall_supported,Bodyweight Standing Military Press Wall Supported,shoulder,shoulder_overhead,military,shoulders,Shoulders,True
ea_bodyweight_standing_triangle_fly,Bodyweight Standing Triangle Fly,shoulder,shoulder_abduction,fly,"chest,shoulders",Calisthenics-Cardio-Plyo-Functional,True
ea_bodyweight_svend_press,Bodyweight Svend Press,shoulder,shoulder_pressing,press,chest,Chest,True
ea_cable_bar_lateral_pulldown,Cable Bar Lateral Pulldown,shoulder,shoulder_overhead_pull,pulldown,lats,Back,True
ea_cable_bench_fly_press,Cable Bench Fly Press,shoulder,shoulder_abduction,fly,chest,Chest,True
