id,title,region,rule,matched,primaryMuscles,vendorGroup,already
ea_armless_prayer_stretch,Armless Prayer Stretch,upper_back,thoracic_trap_primary,traps,"shoulders,traps",Stretching - Mobility,True
ea_assisted_weighted_push_up,Assisted Weighted Push Up,upper_back,thoracic_bar_on_back,on your upper back,chest,Chest,True
ea_back_and_shoulder_stretch,Back and Shoulder Stretch,upper_back,thoracic_trap_primary,traps,"shoulders,traps",Stretching - Mobility,True
ea_back_squeeze,Back Squeeze,upper_back,thoracic_trap_primary,traps,traps,Back,True
ea_backhand_raise,Backhand Raise,upper_back,thoracic_trap_primary,traps,"shoulders,traps",Shoulders,True
ea_band_bent_over_row,Band Bent-over Row,upper_back,thoracic_horizontal_pull,row,"lats,traps",Back,True
ea_band_close_grip_row,Band Close Grip Row,upper_back,thoracic_horizontal_pull,row,"shoulders,traps",Shoulders,True
ea_band_face_pull,Band Face Pull,upper_back,thoracic_horizontal_pull,face pull,"traps,shoulders",Shoulders,True
ea_band_front_face_pull,Band Front Face Pull,upper_back,thoracic_horizontal_pull,face pull,"shoulders,traps",Shoulders,True
ea_band_horizontal_shrug,Band Horizontal Shrug,upper_back,thoracic_trap_load,shrug,traps,Shoulders,True
ea_band_incline_row,Band Incline Row,upper_back,thoracic_horizontal_pull,row,traps,Shoulders,True
ea_band_kneeling_single_arm_high_row,Band Kneeling Single Arm High Row,upper_back,thoracic_horizontal_pull,row,lats,Back,True
ea_band_lying_reverse_grip_row,Band Lying Reverse Grip Row,upper_back,thoracic_horizontal_pull,row,lats,Back,True
ea_band_reverse_fly,Band Reverse Fly,upper_back,thoracic_horizontal_pull,reverse fly,shoulders,Shoulders,True
ea_band_rotating_hammer_grip_incline_bench_row,Band Rotating Hammer Grip Incline Bench Row,upper_back,thoracic_horizontal_pull,row,"lats,traps",Back,True
ea_band_squat_row,Band Squat Row,upper_back,thoracic_horizontal_pull,row,,Calisthenics-Cardio-Plyo-Functional,True
ea_band_standing_rear_delt_row,Band Standing Rear Delt Row,upper_back,thoracic_horizontal_pull,rear delt,shoulders,Shoulders,True
ea_barbell_back_wide_shrug,Barbell Back Wide Shrug,upper_back,thoracic_trap_load,shrug,traps,Shoulders,True
ea_barbell_back_wide_shrugs,Barbell Back Wide Shrugs,upper_back,thoracic_trap_load,shrugs,traps,Shoulders,True
ea_barbell_behind_neck_push_press,Barbell Behind Neck Push Press,upper_back,thoracic_bar_on_back,on your upper back,,Shoulders,True
ea_barbell_behind_the_back_push_press_single_arm_balance,Barbell Behind the Back Push Press Single Arm Balance,upper_back,thoracic_bar_on_back,on your upper back,shoulders,Shoulders,True
ea_barbell_bench_lateral_step_up,Barbell Bench Lateral Step-up,upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_bench_squats,Barbell Bench Squats,upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_bent_over_reverse_raise_skier,Barbell Bent Over Reverse Raise (skier),upper_back,thoracic_trap_primary,traps,traps,Shoulders,True
ea_barbell_bent_over_row_pronated_grip,Barbell Bent Over Row Pronated Grip,upper_back,thoracic_horizontal_pull,row,"lats,traps",Back,True
ea_barbell_bent_over_row_supinated_grip,Barbell Bent Over Row Supinated Grip,upper_back,thoracic_horizontal_pull,row,"lats,traps",Back,True
ea_barbell_box_squat,Barbell Box Squat,upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_bulgarian_split_squat,Barbell Bulgarian Split Squat,upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_bulgarian_split_squat_left_front_back_view,Barbell Bulgarian Split Squat Left Front-back View,upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_bulgarian_split_squat_left_side_view,Barbell Bulgarian Split Squat Left Side View,upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_calf_jump,Barbell Calf Jump,upper_back,thoracic_bar_on_back,across your upper back,calves,Legs,True
ea_barbell_clean_grip_front_squat,Barbell Clean Grip Front Squat,upper_back,thoracic_axial_load,front squat,"quads,glutes",Legs,True
ea_barbell_curtsy_lunges,Barbell Curtsy Lunges,upper_back,thoracic_bar_on_back,across your upper back,"glutes,quads",Legs,True
ea_barbell_decline_shrug,Barbell Decline Shrug,upper_back,thoracic_trap_load,shrug,traps,Shoulders,True
ea_barbell_front_lunges_with_small_pause,Barbell Front Lunges with Small Pause,upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_front_squats,Barbell Front Squats,upper_back,thoracic_axial_load,front squats,"quads,glutes",Legs,True
ea_barbell_full_squat,Barbell Full Squat,upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_full_squat_side_pov,Barbell Full Squat Side Pov,upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_full_squat_wide,Barbell Full Squat Wide,upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_full_squat_back,Barbell Full Squat(back),upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_full_squat_with_rack,Barbell Full Squat(with Rack),upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_full_zercher_squat,Barbell Full Zercher Squat,upper_back,thoracic_axial_load,zercher,"quads,glutes",Legs,True
ea_barbell_good_morning,Barbell Good Morning,upper_back,thoracic_axial_load,good morning,lower_back,Back,True
ea_barbell_jump_shrug,Barbell Jump Shrug,upper_back,thoracic_trap_load,shrug,,Calisthenics-Cardio-Plyo-Functional,True
ea_barbell_jump_squat,Barbell Jump Squat,upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_kneeling_squat,Barbell Kneeling Squat,upper_back,thoracic_bar_on_back,across your upper back,"glutes,quads",Legs,True
ea_barbell_lateral_lunges,Barbell Lateral Lunges,upper_back,thoracic_bar_on_back,across your upper back,"glutes,quads,adductors",Legs,True
ea_barbell_long_landmine_row,Barbell Long Landmine Row,upper_back,thoracic_horizontal_pull,row,lats,Back,True
ea_barbell_low_bar_squat,Barbell Low Bar Squat,upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_lunges,Barbell Lunges,upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_lunges_on_the_spot,Barbell Lunges on the Spot,upper_back,thoracic_bar_on_back,across your upper back,"quads,glutes",Legs,True
ea_barbell_lying_row,Barbell Lying Row,upper_back,thoracic_horizontal_pull,row,"shoulders,traps",Back,True
ea_barbell_meadows_row,Barbell Meadows Row,upper_back,thoracic_horizontal_pull,row,lats,Back,True
