id,title,region,rule,matched,primaryMuscles,vendorGroup,already
ea_ab_wheel_plank,Ab Wheel Plank,wrist,wrist_weight_bearing,plank,core,Yoga,False
ea_alternate_arm_leg_plank,Alternate Arm Leg Plank,wrist,wrist_weight_bearing,plank,"shoulders,glutes",Abdominals,False
ea_alternate_arm_leg_plank_hold,Alternate Arm Leg Plank Hold,wrist,wrist_weight_bearing,plank,"shoulders,glutes",Abdominals,False
ea_alternate_arm_leg_plank_rest_pause,Alternate Arm Leg Plank Rest Pause,wrist,wrist_weight_bearing,plank,shoulders,Abdominals,False
ea_alternate_leg_raise_from_reverse_plank_position,Alternate Leg Raise From Reverse Plank Position,wrist,wrist_weight_bearing,plank,"lower_back,core,quads",Abdominals,False
ea_alternate_single_leg_raises_plank,Alternate Single Leg Raises Plank,wrist,wrist_weight_bearing,plank,glutes,Legs,False
ea_alternating_leg_downward_dog,Alternating Leg Downward Dog,wrist,wrist_weight_bearing,downward dog,"hamstrings,glutes,shoulders",Yoga,False
ea_alternating_plank_lunge,Alternating Plank Lunge,wrist,wrist_weight_bearing,plank,"core,quads",Abdominals,False
ea_archer_push_up,Archer Push Up,wrist,wrist_weight_bearing,push up,"chest,triceps",Chest,False
ea_arms_lateral_raise_and_rotation_up,Arms Lateral Raise and Rotation Up,wrist,wrist_forearm_primary,rotation,,Calisthenics-Cardio-Plyo-Functional,False
ea_assisted_weighted_push_up,Assisted Weighted Push Up,wrist,wrist_weight_bearing,push up,chest,Chest,False
ea_band_push_up,Band Push-up,wrist,wrist_weight_bearing,push up,chest,Chest,False
ea_band_wrist_curl_single_arm,Band Wrist Curl Single Arm,wrist,wrist_loaded_grip,wrist curl,,Forearms,False
ea_barbell_clean_and_jerk,Barbell Clean and Jerk,wrist,wrist_loaded_grip,clean,"quads,glutes,shoulders",Powerlifting,False
ea_barbell_clean_and_jerk_split_squat,Barbell Clean and Jerk Split Squat,wrist,wrist_loaded_grip,clean,"quads,glutes,shoulders",Powerlifting,False
ea_barbell_clean_and_press,Barbell Clean and Press,wrist,wrist_loaded_grip,clean,"shoulders,quads,glutes",Powerlifting,False
ea_barbell_clean_deadlift,Barbell Clean Deadlift,wrist,wrist_loaded_grip,clean,"quads,glutes,hamstrings",Powerlifting,False
ea_barbell_clean_grip_front_squat,Barbell Clean Grip Front Squat,wrist,wrist_loaded_grip,clean,"quads,glutes",Legs,False
ea_barbell_clean_pull,Barbell Clean Pull,wrist,wrist_loaded_grip,clean,"quads,glutes,hamstrings",Powerlifting,False
ea_barbell_front_rack_lunge,Barbell Front Rack Lunge,wrist,wrist_loaded_grip,front rack,"quads,glutes",Legs,False
ea_barbell_full_clean,Barbell Full Clean,wrist,wrist_loaded_grip,clean,"quads,glutes,hamstrings",Powerlifting,False
ea_barbell_hang_clean,Barbell Hang Clean,wrist,wrist_loaded_grip,hang,,Powerlifting,False
ea_barbell_muscle_clean,Barbell Muscle Clean,wrist,wrist_loaded_grip,clean,"quads,glutes,hamstrings,traps,shoulders",Powerlifting,False
ea_barbell_palm_down_wrist_curl_over_a_bench,Barbell Palm Down Wrist Curl Over a Bench,wrist,wrist_loaded_grip,wrist curl,forearms,Forearms,False
ea_barbell_power_clean,Barbell Power Clean,wrist,wrist_loaded_grip,clean,"quads,glutes,hamstrings,traps,shoulders",Powerlifting,False
ea_barbell_power_clean_from_blocks,Barbell Power Clean From Blocks,wrist,wrist_loaded_grip,clean,"quads,glutes,hamstrings,traps,shoulders",Powerlifting,False
ea_barbell_power_snatch,Barbell Power Snatch,wrist,wrist_loaded_grip,snatch,"quads,glutes,hamstrings,shoulders",Powerlifting,False
ea_barbell_snatch,Barbell Snatch,wrist,wrist_loaded_grip,snatch,"shoulders,quads,glutes",Powerlifting,False
ea_barbell_snatch_balance,Barbell Snatch Balance,wrist,wrist_loaded_grip,snatch,"shoulders,quads,glutes",Powerlifting,False
ea_barbell_snatch_deadlift_close_grip,Barbell Snatch Deadlift Close Grip,wrist,wrist_loaded_grip,snatch,"quads,glutes,lower_back",Back,False
ea_barbell_snatch_deadlift_wide_grip,Barbell Snatch Deadlift Wide Grip,wrist,wrist_loaded_grip,snatch,"quads,glutes,lower_back",Back,False
ea_barbell_snatch_from_blocks,Barbell Snatch From Blocks,wrist,wrist_loaded_grip,snatch,"shoulders,quads,glutes",Powerlifting,False
ea_barbell_snatch_pull,Barbell Snatch Pull,wrist,wrist_loaded_grip,snatch,"quads,glutes",Powerlifting,False
ea_barbell_split_clean,Barbell Split Clean,wrist,wrist_loaded_grip,clean,"shoulders,quads,glutes",Powerlifting,False
ea_barbell_standing_back_wrist_curl,Barbell Standing Back Wrist Curl,wrist,wrist_loaded_grip,wrist curl,forearms,Forearms,False
ea_barbell_wrist_curl_on_knees,Barbell Wrist Curl on Knees,wrist,wrist_loaded_grip,wrist curl,forearms,Forearms,False
ea_barbell_wrist_curl_wide_legs,Barbell Wrist Curl Wide Legs,wrist,wrist_loaded_grip,wrist curl,forearms,Forearms,False
ea_barbell_wrist_extension_on_knees,Barbell Wrist Extension on Knees,wrist,wrist_forearm_primary,extension,,Forearms,False
ea_bear_crawls,Bear Crawls,wrist,wrist_weight_bearing,bear crawls,,Calisthenics-Cardio-Plyo-Functional,False
ea_bench_dip_knees_bent,Bench Dip (knees Bent),wrist,wrist_weight_bearing,dip,triceps,Triceps,False
ea_bench_dip_on_floor,Bench Dip on Floor,wrist,wrist_weight_bearing,dip,triceps,Triceps,False
ea_bench_reverse_plank_hold,Bench Reverse Plank Hold,wrist,wrist_weight_bearing,plank,"triceps,shoulders",Yoga,False
ea_bench_triceps_dip_leg_curls,Bench Triceps Dip Leg Curls,wrist,wrist_weight_bearing,dip,triceps,Triceps,False
ea_bench_triceps_dip_straight_legs,Bench Triceps Dip Straight Legs,wrist,wrist_weight_bearing,dip,triceps,Triceps,False
ea_body_saw_plank,Body Saw Plank,wrist,wrist_weight_bearing,plank,shoulders,Yoga,False
ea_bodyweight_kneeling_push_up_row,Bodyweight Kneeling Push-up Row,wrist,wrist_weight_bearing,push up,"chest,triceps,back",Yoga,False
ea_bridge_mountain_climber_cross_body,Bridge - Mountain Climber (cross Body),wrist,wrist_weight_bearing,mountain climber,core,Abdominals,False
ea_burpee,Burpee,wrist,wrist_weight_bearing,burpee,"quads,glutes,chest,shoulders",Calisthenics-Cardio-Plyo-Functional,False
ea_burpee_squat,Burpee Squat,wrist,wrist_weight_bearing,burpee,"quads,glutes",Legs,False
ea_cable_reverse_curl,Cable Reverse Curl,wrist,wrist_loaded_grip,reverse curl,biceps,Biceps,False
ea_cable_wrist_curl,Cable Wrist Curl,wrist,wrist_loaded_grip,wrist curl,forearms,Forearms,False
ea_cable_wrist_extension,Cable Wrist Extension,wrist,wrist_forearm_primary,extension,,Forearms,False
ea_chair_triceps_dips,Chair Triceps Dips,wrist,wrist_weight_bearing,dips,triceps,Triceps,False
ea_chest_dip,Chest Dip,wrist,wrist_weight_bearing,dip,chest,Chest,False
ea_chest_dip_on_dip_station,Chest Dip (on Dip Station),wrist,wrist_weight_bearing,dip,chest,Chest,False
ea_chest_dip_machine,Chest Dip Machine,wrist,wrist_weight_bearing,dip,chest,Chest,False
ea_chest_dip_on_bench,Chest Dip on Bench,wrist,wrist_weight_bearing,dip,chest,Chest,False
ea_chest_dip_weighted,Chest Dip Weighted,wrist,wrist_weight_bearing,dip,chest,Chest,False
ea_chest_dip_weighted_slow,Chest Dip Weighted Slow,wrist,wrist_weight_bearing,dip,chest,Chest,False
ea_chest_dip_with_pause_bodyweight,Chest Dip with Pause Bodyweight,wrist,wrist_weight_bearing,dip,chest,Chest,False
ea_chest_tap_push_up,Chest Tap Push Up,wrist,wrist_weight_bearing,push up,"chest,shoulders,triceps",Chest,False
ea_clap_push_ups,Clap Push Ups,wrist,wrist_weight_bearing,push ups,"chest,shoulders,triceps",Chest,False
ea_clock_push_ups,Clock Push Ups,wrist,wrist_weight_bearing,push ups,"chest,triceps",Chest,False
ea_close_grip_push_up,Close Grip Push Up,wrist,wrist_weight_bearing,push up,"triceps,chest",Chest,False
ea_cobra_full_push_up,Cobra Full Push Up,wrist,wrist_weight_bearing,push up,"chest,shoulders,triceps",Yoga,False
ea_cobra_push_up,Cobra Push Up,wrist,wrist_weight_bearing,push up,"chest,shoulders,triceps",Yoga,False
ea_copenhagen_plank,Copenhagen Plank,wrist,wrist_weight_bearing,plank,,Abdominals,False
ea_crab_pose,Crab Pose,wrist,wrist_weight_bearing,crab,"glutes,hamstrings,shoulders",Yoga,False
ea_crab_twist_toe_touch,Crab Twist Toe Touch,wrist,wrist_weight_bearing,crab,"glutes,hamstrings,shoulders",Abdominals,False
ea_dead_hang_stretch,Dead Hang Stretch,wrist,wrist_loaded_grip,dead hang,"lower_back,back,shoulders",Stretching - Mobility,False
ea_decline_chair_push_up_diamond,Decline Chair Push Up Diamond,wrist,wrist_weight_bearing,push up,"chest,triceps",Triceps,False
