n,id,title,vendorGroup,muscles,equipmentLabel,hasVideo
1,ea_abs_snails,Abs Snails,Abdominals,core,None (Bodyweight),True
2,ea_barbell_landmine_side_bend,Barbell Landmine Side Bend,Abdominals,core,Landmine,True
3,ea_barbell_situp,Barbell Situp,Abdominals,core,Barbell,True
4,ea_cable_standing_crunch,Cable Standing Crunch,Abdominals,core,Cable Pulley Machine,True
5,ea_copenhagen_plank,Copenhagen Plank,Abdominals,core,Bench,True
6,ea_dragonfly,Dragonfly,Abdominals,core,Pull Up Bar,True
7,ea_dumbbell_elbow_side_plank,Dumbbell Elbow Side Plank,Abdominals,core,Dumbbells,True
8,ea_dumbbell_half_kneeling_wood_chopper,Dumbbell Half Kneeling Wood Chopper,Abdominals,core,Dumbbells,True
9,ea_dumbbell_hand_side_plank,Dumbbell Hand Side Plank,Abdominals,core,Dumbbells,True
10,ea_dumbbell_kneeling_wood_chopper,Dumbbell Kneeling Wood Chopper,Abdominals,core,Dumbbells,True
11,ea_dumbbell_overhead_side_bend,Dumbbell Overhead Side Bend,Abdominals,core,Dumbbells,True
12,ea_dumbbell_side_plank_up_down,Dumbbell Side Plank Up Down,Abdominals,core,Dumbbells,True
13,ea_dumbbell_suitcase_crunch,Dumbbell Suitcase Crunch,Abdominals,core,Dumbbells,True
14,ea_flat_knee_raise,Flat Knee Raise,Abdominals,core,None (Bodyweight),True
15,ea_hanging_leg_raises,Hanging Leg Raises,Abdominals,core,Pull Up Bar,True
16,ea_hold_the_world_med_ball,Hold the World Med Ball,Abdominals,core,Exercise Ball,True
17,ea_l_sit_hold,L Sit Hold,Abdominals,core,Parallettes,True
18,ea_landmine_hollow_hold,Landmine Hollow Hold,Abdominals,core,Landmine,True
19,ea_landmine_kneeling_twist,Landmine Kneeling Twist,Abdominals,core,Landmine,True
20,ea_landmine_oblique_twist,Landmine Oblique Twist,Abdominals,core,Landmine,True
21,ea_landmine_russian_twist,Landmine Russian Twist,Abdominals,core,Landmine,True
22,ea_long_lever_plank,Long Lever Plank,Abdominals,core,None (Bodyweight),True
23,ea_med_ball_half_kneeling_wood_choppers,Med Ball Half Kneeling Wood Choppers,Abdominals,core,Exercise Ball,True
24,ea_med_ball_toe_touches,Med Ball Toe Touches,Abdominals,core,Exercise Ball,True
25,ea_medicine_ball_chest_throw_with_abs,Medicine Ball Chest Throw with Abs,Abdominals,core,Medicine Ball,True
26,ea_medicine_ball_rotational_throw,Medicine Ball Rotational Throw,Abdominals,core,Medicine Ball,True
27,ea_plate_hollow_hold,Plate Hollow Hold,Abdominals,core,Weight Plate,True
28,ea_plate_pinch_grip_side_bend,Plate Pinch Grip Side Bend,Abdominals,core,Weight Plate,True
29,ea_plate_russian_twist,Plate Russian Twist,Abdominals,core,Weight Plate,True
30,ea_plate_situp,Plate Situp,Abdominals,core,Weight Plate,True
31,ea_plate_standing_twist,Plate Standing Twist,Abdominals,core,Weight Plate,True
32,ea_plate_wood_chopper,Plate Wood Chopper,Abdominals,core,Weight Plate,True
33,ea_reverse_plank,Reverse Plank,Abdominals,core,None (Bodyweight),True
34,ea_barbell_coan_deadlift,Barbell Coan Deadlift,Back,back,Barbell,True
35,ea_barbell_reverse_deadlift,Barbell Reverse Deadlift,Back,back,Barbell,True
36,ea_barbell_zercher_good_morning,Barbell Zercher Good Morning,Back,back,Barbell,True
37,ea_cable_lat_prayer,Cable Lat Prayer,Back,back,Cable Pulley Machine,True
38,ea_cable_pull_in_kneeling,Cable Pull in Kneeling,Back,back,Cable Pulley Machine,True
39,ea_cable_silverback_shrug,Cable Silverback Shrug,Back,back,Cable Pulley Machine,True
40,ea_dumbbell_alternating_pendlay_row,Dumbbell Alternating Pendlay Row,Back,back,Dumbbells,True
41,ea_dumbbell_goblet_good_morning,Dumbbell Goblet Good Morning,Back,back,Dumbbells,True
42,ea_dumbbell_knee_lawnmower_row,Dumbbell Knee Lawnmower Row,Back,back,Dumbbells,True
43,ea_dumbbell_pendlay_row,Dumbbell Pendlay Row,Back,back,Dumbbells,True
44,ea_kettlebell_gorilla_row,Kettlebell Gorilla Row,Back,back,Kettlebells,True
45,ea_kettlebell_pullover,Kettlebell Pullover,Back,back,Kettlebells,True
46,ea_kettlebell_row,Kettlebell Row,Back,back,Kettlebells,True
47,ea_kettlebell_single_arm_row,Kettlebell Single Arm Row,Back,back,Kettlebells,True
48,ea_kipping_pull_up,Kipping Pull Up,Back,back,Pull Up Bar,True
49,ea_landmine_romanian_deadlift,Landmine Romanian Deadlift,Back,back,Landmine,True
50,ea_lawnmower_row,Lawnmower Row,Back,back,Dumbbells,True
51,ea_plate_alternating_deadstop_row,Plate Alternating Deadstop Row,Back,back,Weight Plate,True
52,ea_plate_glute_bridge_to_pullover,Plate Glute Bridge to Pullover,Back,back,Weight Plate,True
53,ea_plate_good_morning,Plate Good Morning,Back,back,Weight Plate,True
54,ea_plate_pinch_grip_deadlift,Plate Pinch Grip Deadlift,Back,back,Weight Plate,True
55,ea_plate_pinch_grip_row,Plate Pinch Grip Row,Back,back,Weight Plate,True
56,ea_push_pull_chair_over_head_pull,Push Pull Chair Over Head Pull,Back,back,Machine,True
57,ea_seated_row_machine_rows,Seated Row Machine Rows,Back,back,Machine,True
58,ea_straight_arm_cable_lat_pull_down,Straight Arm Cable Lat Pull Down,Back,back,Cable Pulley Machine,True
59,ea_suspension_trainer_with_grips_wide_grip_inverted_row_on_floor_1,Suspension Trainer with Grips Wide Grip Inverted Row on Floor_1,Back,back,Suspension Trainer,True
60,ea_theraband_scapula_retraction,Theraband Scapula Retraction,Back,back,Resistance Band,True
61,ea_weighted_back_extensions_on_hyperextension_bench,Weighted Back Extensions on Hyperextension Bench,Back,back,Bench,True
62,ea_alternate_biceps_curl_resistance_band,Alternate Biceps Curl Resistance Band,Biceps,biceps,Resistance Band,True
63,ea_alternate_biceps_curl_standing_dumbbells,Alternate Biceps Curl Standing Dumbbells,Biceps,biceps,Dumbbells,True
64,ea_cable_twisting_biceps_curl,Cable Twisting Biceps Curl,Biceps,biceps,Cable Pulley Machine,True
65,ea_dumbbell_seated_zottman_curl,Dumbbell Seated Zottman Curl,Biceps,biceps,Dumbbells,True
66,ea_kettlebell_concentration_curl,Kettlebell Concentration Curl,Biceps,biceps,Kettlebells,True
67,ea_kettlebell_curl,Kettlebell Curl,Biceps,biceps,Kettlebells,True
68,ea_kettlebell_goblet_curl,Kettlebell Goblet Curl,Biceps,biceps,Kettlebells,True
69,ea_kettlebell_preacher_curl,Kettlebell Preacher Curl,Biceps,biceps,Kettlebells,True
70,ea_kettlebell_single_arm_curl,Kettlebell Single Arm Curl,Biceps,biceps,Kettlebells,True
71,ea_landmine_bicep_curl,Landmine Bicep Curl,Biceps,biceps,Landmine,True
72,ea_landmine_concentration_curl,Landmine Concentration Curl,Biceps,biceps,Landmine,True
73,ea_plate_curl_to_overhead_press,Plate Curl to Overhead Press,Biceps,biceps,Weight Plate,True
74,ea_reverse_curl_barbell,Reverse Curl Barbell,Biceps,biceps,Barbell,True
75,ea_180_jump_turns,180 Jump Turns,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
76,ea_agility_ladder_advanced_hop_position,Agility Ladder Advanced Hop Position,Calisthenics-Cardio-Plyo-Functional,,Agility Ladder,True
77,ea_agility_ladder_advanced_single_leg,Agility Ladder Advanced Single-leg,Calisthenics-Cardio-Plyo-Functional,,Agility Ladder,True
78,ea_agility_ladder_advancing_laterally_switching_base,Agility Ladder Advancing Laterally Switching Base,Calisthenics-Cardio-Plyo-Functional,,Agility Ladder,True
79,ea_agility_ladder_lateral_movement_in_in_out,Agility Ladder Lateral Movement in in Out,Calisthenics-Cardio-Plyo-Functional,,Agility Ladder,True
80,ea_agility_ladder_lateral_movement_with_double_hop,Agility Ladder Lateral Movement with Double Hop,Calisthenics-Cardio-Plyo-Functional,,Agility Ladder,True
81,ea_agility_ladder_skipping_1_touch,Agility Ladder Skipping 1 Touch,Calisthenics-Cardio-Plyo-Functional,,Agility Ladder,True
82,ea_agility_ladder_skipping_2_touches,Agility Ladder Skipping 2 Touches,Calisthenics-Cardio-Plyo-Functional,,Agility Ladder,True
83,ea_agility_ladder_in_in_out_out,Agility Ladder in in Out Out,Calisthenics-Cardio-Plyo-Functional,,Agility Ladder,True
84,ea_agility_ladder_in_in_out_out_moving_laterally,Agility Ladder in in Out Out Moving Laterally,Calisthenics-Cardio-Plyo-Functional,,Agility Ladder,True
85,ea_agility_ladder_in_in_out_out_with_knee_lift,Agility Ladder in in Out Out with Knee Lift,Calisthenics-Cardio-Plyo-Functional,,Agility Ladder,True
86,ea_air_swing_running,Air Swing Running,Calisthenics-Cardio-Plyo-Functional,,Dip Bars,True
87,ea_air_swing_side_to_side_swing,Air Swing Side to Side Swing,Calisthenics-Cardio-Plyo-Functional,,Dip Bars,True
88,ea_air_swing_walking,Air Swing Walking,Calisthenics-Cardio-Plyo-Functional,,Dip Bars,True
89,ea_arms_lateral_raise_and_rotation_up,Arms Lateral Raise and Rotation Up,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
90,ea_ball_slams,Ball Slams,Calisthenics-Cardio-Plyo-Functional,,Exercise Ball,True
91,ea_band_squat_row,Band Squat Row,Calisthenics-Cardio-Plyo-Functional,,Resistance Band,True
92,ea_barbell_jump_shrug,Barbell Jump Shrug,Calisthenics-Cardio-Plyo-Functional,,Barbell,True
93,ea_battle_rope_alternating_arm_waves,Battle Rope Alternating Arm Waves,Calisthenics-Cardio-Plyo-Functional,,Battle Ropes,True
94,ea_battle_rope_double_arm_slams,Battle Rope Double Arm Slams,Calisthenics-Cardio-Plyo-Functional,,Battle Ropes,True
95,ea_bear_crawls,Bear Crawls,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
96,ea_box_sled_push,Box Sled Push,Calisthenics-Cardio-Plyo-Functional,,Sled,True
97,ea_crawl_with_sled_drag,Crawl with Sled Drag,Calisthenics-Cardio-Plyo-Functional,,Sled,True
98,ea_double_kettlebell_sled_push,Double Kettlebell Sled Push,Calisthenics-Cardio-Plyo-Functional,,Kettlebells,True
99,ea_dumbbell_curl_press_extend,Dumbbell Curl Press Extend,Calisthenics-Cardio-Plyo-Functional,,Dumbbells,True
100,ea_dumbbell_swing,Dumbbell Swing,Calisthenics-Cardio-Plyo-Functional,,Dumbbells,True
101,ea_elbow_extension,Elbow-extension,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
102,ea_front_lever_raise,Front Lever Raise,Calisthenics-Cardio-Plyo-Functional,,Pull Up Bar,True
103,ea_front_lever_raise_to_hold,Front Lever Raise to Hold,Calisthenics-Cardio-Plyo-Functional,,Pull Up Bar,True
104,ea_gorilla_walk,Gorilla Walk,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
105,ea_hand_stand_hold,Hand Stand Hold,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
