"image_id","arm","source_file","transformed_sha256","gt_kind","canonical_label","canonical_equipment_id","semantic_label","central_subject","gt_equivalent","gt_status","pass1_label","pass2_label","features_the_label_rests_on"
"f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667","A","20240409_142108.jpg","f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667","multiple","","","","person standing; stability ball; TRX straps; ZIVA plyo box; weight plates","true","resolved","multiple","multiple","[mixed] a person occupies the centre; the equipment (ball, TRX, plyo box, racks) is scattered around the edges with no single subject"
"f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667","B","20240409_142108.jpg","08c18a90b0e55a54035330102b3066ea88fe7afe915ddbbc5e0a5839bb2642db","multiple","","","","person's lower body; red stability ball; TRX straps; ZIVA plyo box","true","resolved","multiple","multiple","[mixed] the crop is filled by a standing person's torso and legs with a red ball beside them; the plyo box and TRX survive only at the edges"
"fea9f5611ab59fa34e78cadb5c9b2ade9f4383ac1f8e033faa213abddeee6d7e","A","20240409_142346.jpg","fea9f5611ab59fa34e78cadb5c9b2ade9f4383ac1f8e033faa213abddeee6d7e","multiple","","","","person standing; stability ball; TRX straps; power cage behind","true","resolved","multiple","multiple","[mixed] same framing as #0 with a grey ball; no single machine is the subject"
"fea9f5611ab59fa34e78cadb5c9b2ade9f4383ac1f8e033faa213abddeee6d7e","B","20240409_142346.jpg","74edc73a4eff37768c4eff2a0ac1cdc84ad5a865aa6855b07c47e88d11c99b9d","multiple","","","","person's legs; grey stability ball; TRX straps; power cage at the right edge","true","resolved","multiple","multiple","[mixed] the person and the ball share the crop; the cage is cut to a sliver at the right"
"2cf6efffac4efa1651077976448dee9bf89a83e60df0462799756942d3df83bb","A","20260518_140528.jpg","2cf6efffac4efa1651077976448dee9bf89a83e60df0462799756942d3df83bb","multiple","","","","dumbbell rack with a child; power rack at left; benches at right","true","resolved","multiple","multiple","[mixed] the dumbbell rack is centred but a power rack fills the left third and benches the right"
"2cf6efffac4efa1651077976448dee9bf89a83e60df0462799756942d3df83bb","B","20260518_140528.jpg","b96f6d8796583cb002b147388596fdd22774b63ac707872d4e6757c2e0e95962","multiple","","","","red dumbbell rack with a child; power rack at left; benches at right","true","resolved","multiple","multiple","[mixed] the dumbbell rack survives the crop but a rack still fills the left third and benches the right"
"0308c5340036a5ab5099f3856ce822494a1ba94af911e3ad4a4365d87cad203d","A","20260518_140616.jpg","0308c5340036a5ab5099f3856ce822494a1ba94af911e3ad4a4365d87cad203d","multiple","","","","general gym view; power cage; freedom rack; a dumbbell on the floor","true","resolved","multiple","multiple","[mixed] room-scale view, several racks, no dominant object"
"0308c5340036a5ab5099f3856ce822494a1ba94af911e3ad4a4365d87cad203d","B","20260518_140616.jpg","eaac004c070455976731e4bee3a780e615fb20f67ed34fdcf8b25ed237b0fdec","multiple","","","","gym floor with a power cage and a freedom rack behind; a dumbbell on the floor","true","resolved","multiple","multiple","[mixed] still room-scale after the crop; the nearest object is a single dumbbell lying on the floor"
"0b15a2bab5415ce5244f230e8a051fd08097a3c2c11236c1c5462597e5f902dc","A","20260706_142110.jpg","0b15a2bab5415ce5244f230e8a051fd08097a3c2c11236c1c5462597e5f902dc","multiple","","","","person seated on an exercise bike; more bikes around","true","resolved","multiple","multiple","[same_type_bikes] cardio floor; the bike he sits on is largely occluded by the person and at least three more bikes are visible"
"0b15a2bab5415ce5244f230e8a051fd08097a3c2c11236c1c5462597e5f902dc","B","20260706_142110.jpg","2a1c1063172a4c8856b5bf50037bd6e999dbd8fc7d0d4375c9997d8430454480","multiple","","","","person seated on an exercise bike; further bikes left and right","true","resolved","multiple","multiple","[same_type_bikes] the crop keeps the rider and at least two more bikes; the ridden bike is largely occluded by the person"
