"index","arm","gt_kind","canonical_label","semantic_label","central_subject","multiple_kind","gt_status","pass1_label","pass2_label","features"
"0","A","multiple","","","person standing; stability ball; TRX straps; ZIVA plyo box; weight plates","mixed","resolved","multiple","multiple","a person occupies the centre; the equipment (ball, TRX, plyo box, racks) is scattered around the edges with no single subject"
"0","B","multiple","","","person's lower body; red stability ball; TRX straps; ZIVA plyo box","mixed","resolved","multiple","multiple","the crop is filled by a standing person's torso and legs with a red ball beside them; the plyo box and TRX survive only at the edges"
"1","A","multiple","","","person standing; stability ball; TRX straps; power cage behind","mixed","resolved","multiple","multiple","same framing as #0 with a grey ball; no single machine is the subject"
"1","B","multiple","","","person's legs; grey stability ball; TRX straps; power cage at the right edge","mixed","resolved","multiple","multiple","the person and the ball share the crop; the cage is cut to a sliver at the right"
"2","A","multiple","","","dumbbell rack with a child; power rack at left; benches at right","mixed","resolved","multiple","multiple","the dumbbell rack is centred but a power rack fills the left third and benches the right"
"2","B","multiple","","","red dumbbell rack with a child; power rack at left; benches at right","mixed","resolved","multiple","multiple","the dumbbell rack survives the crop but a rack still fills the left third and benches the right"
"3","A","multiple","","","general gym view; power cage; freedom rack; a dumbbell on the floor","mixed","resolved","multiple","multiple","room-scale view, several racks, no dominant object"
"3","B","multiple","","","gym floor with a power cage and a freedom rack behind; a dumbbell on the floor","mixed","resolved","multiple","multiple","still room-scale after the crop; the nearest object is a single dumbbell lying on the floor"
"4","A","multiple","","","person seated on an exercise bike; more bikes around","same_type_bikes","resolved","multiple","multiple","cardio floor; the bike he sits on is largely occluded by the person and at least three more bikes are visible"
"4","B","multiple","","","person seated on an exercise bike; further bikes left and right","same_type_bikes","resolved","multiple","multiple","the crop keeps the rider and at least two more bikes; the ridden bike is largely occluded by the person"
"5","A","canonical_single","cable machine","Nautilus Instinct functional trainer column","Nautilus Instinct functional trainer column","","resolved","cable machine","cable machine","close-up of one cable column: exercise placard, rope attachment, cable handles, weight stack"
