"seq","window","pair_id","pair_index","image_id","arm","attempt_no","source_file","transformed_sha256","gt_kind","gt_status"
"0","1","p00","0","f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667","A","1","20240409_142108.jpg","f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667","multiple","resolved"
"1","1","p00","0","f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667","B","1","20240409_142108.jpg","08c18a90b0e55a54035330102b3066ea88fe7afe915ddbbc5e0a5839bb2642db","multiple","resolved"
"2","1","p01","1","fea9f5611ab59fa34e78cadb5c9b2ade9f4383ac1f8e033faa213abddeee6d7e","B","1","20240409_142346.jpg","74edc73a4eff37768c4eff2a0ac1cdc84ad5a865aa6855b07c47e88d11c99b9d","multiple","resolved"
"3","1","p01","1","fea9f5611ab59fa34e78cadb5c9b2ade9f4383ac1f8e033faa213abddeee6d7e","A","1","20240409_142346.jpg","fea9f5611ab59fa34e78cadb5c9b2ade9f4383ac1f8e033faa213abddeee6d7e","multiple","resolved"
"4","1","p02","2","2cf6efffac4efa1651077976448dee9bf89a83e60df0462799756942d3df83bb","A","1","20260518_140528.jpg","2cf6efffac4efa1651077976448dee9bf89a83e60df0462799756942d3df83bb","multiple","resolved"
"5","1","p02","2","2cf6efffac4efa1651077976448dee9bf89a83e60df0462799756942d3df83bb","B","1","20260518_140528.jpg","b96f6d8796583cb002b147388596fdd22774b63ac707872d4e6757c2e0e95962","multiple","resolved"
"6","1","p03","3","0308c5340036a5ab5099f3856ce822494a1ba94af911e3ad4a4365d87cad203d","B","1","20260518_140616.jpg","eaac004c070455976731e4bee3a780e615fb20f67ed34fdcf8b25ed237b0fdec","multiple","resolved"
"7","1","p03","3","0308c5340036a5ab5099f3856ce822494a1ba94af911e3ad4a4365d87cad203d","A","1","20260518_140616.jpg","0308c5340036a5ab5099f3856ce822494a1ba94af911e3ad4a4365d87cad203d","multiple","resolved"
"8","1","p04","4","0b15a2bab5415ce5244f230e8a051fd08097a3c2c11236c1c5462597e5f902dc","A","1","20260706_142110.jpg","0b15a2bab5415ce5244f230e8a051fd08097a3c2c11236c1c5462597e5f902dc","multiple","resolved"
"9","1","p04","4","0b15a2bab5415ce5244f230e8a051fd08097a3c2c11236c1c5462597e5f902dc","B","1","20260706_142110.jpg","2a1c1063172a4c8856b5bf50037bd6e999dbd8fc7d0d4375c9997d8430454480","multiple","resolved"
"10","1","p05","5","6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03","B","1","20260730_134401.jpg","e850d9ccf8161ca24a38c57ebc1cf1a15b761f4327fb87f51b124638e8d41989","canonical_single","resolved"
"11","1","p05","5","6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03","A","1","20260730_134401.jpg","6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03","canonical_single","resolved"
"12","1","p06","6","65885a79982526bc16f70a457e5d2d0a647adc96422330b2ad656bd241218999","A","1","20260730_134404.jpg","65885a79982526bc16f70a457e5d2d0a647adc96422330b2ad656bd241218999","canonical_single","resolved"
"13","1","p06","6","65885a79982526bc16f70a457e5d2d0a647adc96422330b2ad656bd241218999","B","1","20260730_134404.jpg","eb38affcf5c48ec14e526dac3f1c65df220f7b0a46747e51d480151506c0456b","canonical_single","resolved"
"14","1","p07","7","b4ad4eeb8758153983a84571d6212ac752831cb8c7e78de5bf2347a3f48c73eb","B","1","20260730_135318.jpg","7e5959206fbe642835a86597d74365fc29507d1abd5c6116edb24ca303f24636","canonical_single","resolved"
"15","1","p07","7","b4ad4eeb8758153983a84571d6212ac752831cb8c7e78de5bf2347a3f48c73eb","A","1","20260730_135318.jpg","b4ad4eeb8758153983a84571d6212ac752831cb8c7e78de5bf2347a3f48c73eb","canonical_single","resolved"
"16","1","p08","8","39230173660c0e3c991c7ea1181f6c422923d60c34d81dafb5333d4065716095","A","1","20260730_135336.jpg","39230173660c0e3c991c7ea1181f6c422923d60c34d81dafb5333d4065716095","canonical_single","resolved"
"17","1","p08","8","39230173660c0e3c991c7ea1181f6c422923d60c34d81dafb5333d4065716095","B","1","20260730_135336.jpg","fd518825eb3cf857a05093ebc66e8132d81d96f3acaa9153c68c93dd8f0f84d3","canonical_single","resolved"
"18","1","p09","9","08c2e5f15bfaadcb6b0d71c80d09ed41730d6d5d9d333b1e582ad044d9f076bf","B","1","20260730_135340.jpg","499e67b348a8408dd743ed6d90b8dcc0b691377fd3ad38274ca1d62df8858a4b","multiple","resolved"
"19","1","p09","9","08c2e5f15bfaadcb6b0d71c80d09ed41730d6d5d9d333b1e582ad044d9f076bf","A","1","20260730_135340.jpg","08c2e5f15bfaadcb6b0d71c80d09ed41730d6d5d9d333b1e582ad044d9f076bf","multiple","resolved"
"20","1","p10","10","eb94c15f754ae9500ad63253db6d7cbd8acee7dcf4a4a665c756386a35c3ba07","A","1","20260730_135347.jpg","eb94c15f754ae9500ad63253db6d7cbd8acee7dcf4a4a665c756386a35c3ba07","multiple","resolved"
"21","1","p10","10","eb94c15f754ae9500ad63253db6d7cbd8acee7dcf4a4a665c756386a35c3ba07","B","1","20260730_135347.jpg","b38b4ca851910e77bd2dbbaa624e25ef526ea84de3e953360fe0a0b045e6e380","multiple","resolved"
"22","1","p11","11","595a80c4da71cb6c737030f396a976df06c2912a0c97ee3ab436d28026da849b","B","1","20260730_135354.jpg","a87d0a99efb7b661136cdc77a30fb8a7e07a29a49dc4f7914fe759426c625b5e","multiple","resolved"
"23","1","p11","11","595a80c4da71cb6c737030f396a976df06c2912a0c97ee3ab436d28026da849b","A","1","20260730_135354.jpg","595a80c4da71cb6c737030f396a976df06c2912a0c97ee3ab436d28026da849b","multiple","resolved"
"24","1","p12","12","96b105477b0227f210bfbcd47d63ce3652dadc36a4130d2653736c794d45ce1b","A","1","20260730_135357.jpg","96b105477b0227f210bfbcd47d63ce3652dadc36a4130d2653736c794d45ce1b","multiple","resolved"
"25","1","p12","12","96b105477b0227f210bfbcd47d63ce3652dadc36a4130d2653736c794d45ce1b","B","1","20260730_135357.jpg","0f6499ff362cb9872f55ff0ce09532360633c39e58bae6430d080b4a211e3cd0","multiple","resolved"
"26","1","p13","13","9187cef374467806179742eb14046301bac11e735ed30ffdcc3b1852478ac99b","B","1","20260730_135409.jpg","4343ce6fe523292ad09d7e051311d4bb0b027817b4ab30f5339e5d41759d66dd","multiple","resolved"
"27","1","p13","13","9187cef374467806179742eb14046301bac11e735ed30ffdcc3b1852478ac99b","A","1","20260730_135409.jpg","9187cef374467806179742eb14046301bac11e735ed30ffdcc3b1852478ac99b","multiple","resolved"
"28","1","p14","14","bee2351fec1dbc7aa6ac571b125e1b8a239850073051df8c84c76990c5615342","A","1","20260730_135411.jpg","bee2351fec1dbc7aa6ac571b125e1b8a239850073051df8c84c76990c5615342","multiple","resolved"
"29","1","p14","14","bee2351fec1dbc7aa6ac571b125e1b8a239850073051df8c84c76990c5615342","B","1","20260730_135411.jpg","f3a17ecb38f95c7690f4cf1a6a071e4cd55eb6c78edcde5939b66f411a5994f5","multiple","resolved"
"30","1","p15","15","bc4d05db07744a1d11ec0d97d73c2ad1e0751dc999ed89e348b12afe2cb8d948","B","1","20260730_135543.jpg","59c4879604ab1356472c1f1a55553cdbafe8136f189f1752c890775a492d3316","canonical_single","unresolved"
"31","1","p15","15","bc4d05db07744a1d11ec0d97d73c2ad1e0751dc999ed89e348b12afe2cb8d948","A","1","20260730_135543.jpg","bc4d05db07744a1d11ec0d97d73c2ad1e0751dc999ed89e348b12afe2cb8d948","canonical_single","unresolved"
"32","1","p16","16","5c4bf12eb20cd187cdc5b074b18800753d860886554fee1bd6af1f01286d4527","A","1","20260730_135552.jpg","5c4bf12eb20cd187cdc5b074b18800753d860886554fee1bd6af1f01286d4527","multiple","resolved"
"33","1","p16","16","5c4bf12eb20cd187cdc5b074b18800753d860886554fee1bd6af1f01286d4527","B","1","20260730_135552.jpg","a52b5153861e379d5ccc7c66c974b1cb53b05964d9c34c6fee7d29969ff846f2","multiple","resolved"
"34","1","p17","17","23c5ea84b41f1ce52f81b4e58e783a1fea733547c2a73c948f1e89a25f027e7c","B","1","20260730_135556.jpg","b19372c499ec9d59ed3bc1eb9854feeba15281708fc60003003d1e45e78cee59","multiple","resolved"
"35","1","p17","17","23c5ea84b41f1ce52f81b4e58e783a1fea733547c2a73c948f1e89a25f027e7c","A","1","20260730_135556.jpg","23c5ea84b41f1ce52f81b4e58e783a1fea733547c2a73c948f1e89a25f027e7c","multiple","resolved"
"36","1","p18","18","dd40295cdf7a252fd395c661d2bc9b98f3b36f076e20caa167c67d49af95b523","A","1","20260730_135618.jpg","dd40295cdf7a252fd395c661d2bc9b98f3b36f076e20caa167c67d49af95b523","multiple","resolved"
"37","1","p18","18","dd40295cdf7a252fd395c661d2bc9b98f3b36f076e20caa167c67d49af95b523","B","1","20260730_135618.jpg","0ff8bcd520801ea1a30c29fe2f6d53374440722385f7f7e813535bc2f3cf55fd","multiple","resolved"
"38","1","p19","19","4b7436ffc8dfb1c1e5188ccf6d7dfed696cca84b45723b4cafc045d74749da88","B","1","20260730_135629.jpg","909526314a29930f4594f5260d240e9ff9bd34c4c57f223d2d40166ffede809e","multiple","resolved"
"39","1","p19","19","4b7436ffc8dfb1c1e5188ccf6d7dfed696cca84b45723b4cafc045d74749da88","A","1","20260730_135629.jpg","4b7436ffc8dfb1c1e5188ccf6d7dfed696cca84b45723b4cafc045d74749da88","multiple","resolved"
"40","1","p20","20","cc68a1f2b2d5b6ce776121ed14864bfb393939490460e613ee0c542116cd746c","A","1","20260730_135638.jpg","cc68a1f2b2d5b6ce776121ed14864bfb393939490460e613ee0c542116cd746c","multiple","resolved"
"41","1","p20","20","cc68a1f2b2d5b6ce776121ed14864bfb393939490460e613ee0c542116cd746c","B","1","20260730_135638.jpg","9ba26ed5659f1768210e199a7a005002c322871fb7619b57c826542a1b83676a","multiple","resolved"
"42","1","p21","21","7fae0db291ccb564312d388fdd074347e45c92fa5da9090ce154c469044526b0","B","1","20260730_135643.jpg","2a52d248e302c57e38546da52ed08be496264a1764abd7acaa28412d9da23276","canonical_single","resolved"
"43","1","p21","21","7fae0db291ccb564312d388fdd074347e45c92fa5da9090ce154c469044526b0","A","1","20260730_135643.jpg","7fae0db291ccb564312d388fdd074347e45c92fa5da9090ce154c469044526b0","canonical_single","resolved"
"44","1","p22","22","543dc3d5cfdaf84ab590af7465bfd9e3adeaa307460ba95629c7cd61d655f2c3","A","1","20260730_141731.jpg","543dc3d5cfdaf84ab590af7465bfd9e3adeaa307460ba95629c7cd61d655f2c3","canonical_single","resolved"
"45","1","p22","22","543dc3d5cfdaf84ab590af7465bfd9e3adeaa307460ba95629c7cd61d655f2c3","B","1","20260730_141731.jpg","2714806a65eb8f0bf9df26b0a9530fa33351c2f7be9eaae2afa34fe20a20409c","canonical_single","resolved"
"46","1","p23","23","95c0d64bdfa7c1193504db0f3383031b66255f4918420ce4f203ed25f59ebb09","B","1","20260730_141736.jpg","2efb8ab7f27a7c20e851401c9e2c56923c4e1cff351d41622b1b385057bb1001","canonical_single","resolved"
