"image_index","source_file","real_people","printed_human_figures","legible_face","note"
"0","20240409_142108.jpg","yes","no","yes","a trainer stands centre frame, face fully legible"
"1","20240409_142346.jpg","yes","no","yes","the same trainer, same pose, face fully legible"
"2","20260518_140528.jpg","yes","yes","yes","a child from behind at the dumbbell rack; his face is legible in the left mirror, and a second child in blue is reflected there; a printed graphic covers the column"
"3","20260518_140616.jpg","yes","no","yes","a child faces the camera, face fully legible; an adult in red stands at the left with his back turned"
"4","20260706_142110.jpg","yes","no","yes","the trainer sits on a bike, face fully legible; a further person is partly visible at the left"
"5","20260730_134401.jpg","no","yes","no","Nautilus Instinct instruction placard, line-drawn human pictograms only"
"6","20260730_134404.jpg","no","yes","no","the same instruction placard, line-drawn pictograms only"
"7","20260730_135318.jpg","yes","yes","no","people reflected in the mirror and in the depth of the room, small and distant; a printed panel on the left wall"
"8","20260730_135336.jpg","no","no","no",""
"9","20260730_135340.jpg","no","no","no",""
"10","20260730_135347.jpg","no","yes","no","large printed wall panels of a woman on the column and on the right-hand wall; nobody in the room"
"11","20260730_135354.jpg","no","no","no",""
"12","20260730_135357.jpg","no","no","no",""
"13","20260730_135409.jpg","yes","no","no","a person reflected in the mirror, and a shoulder in a navy shirt close to the lens at the lower right"
"14","20260730_135411.jpg","yes","no","no","a person reflected in the mirror, small and distant"
"15","20260730_135543.jpg","no","yes","no","two large purple printed banners of a woman; nobody in the room"
"16","20260730_135552.jpg","no","yes","no","a purple printed banner of a woman on the pillar"
"17","20260730_135556.jpg","yes","yes","no","a printed panel of a man on the wall AND a real person reflected at the right"
"18","20260730_135618.jpg","no","no","no",""
"19","20260730_135629.jpg","no","no","no",""
"20","20260730_135638.jpg","yes","no","no","a person standing in the depth of the room, small"
"21","20260730_135643.jpg","no","yes","no","PEC FLY / REAR DELT placard carrying a printed photograph of a model"
"22","20260730_141731.jpg","no","no","no","nobody indoors; distant figures on the street beyond the window"
"23","20260730_141736.jpg","no","yes","no","ABDOMINAL placard carrying a printed photograph of a model"
"24","20260730_141743.jpg","no","yes","no","the same ABDOMINAL placard, printed photograph of a model"
"25","20260730_142207.jpg","no","no","no",""
"26","20260730_142215.jpg","yes","yes","no","a printed panel of a man on the pillar AND a real person in the depth of the room"
"27","20260730_142217.jpg","yes","yes","no","a printed panel of a man at the right AND a real person reflected in the mirror"
"28","20260806_140007.jpg","yes","yes","no","a large printed mural of a man on the left wall AND a real person in a red shirt behind"
"29","20260806_140012.jpg","yes","yes","no","a real person in a red shirt in the centre distance and a further person at the right edge; a printed panel of a woman on the right wall"
"30","20260806_140016.jpg","no","yes","no","a very large printed mural of a bearded man dominates the left of the frame; nobody in the room"
"31","20260810_131016.jpg","yes","no","no","the photographer is reflected in the mirror holding the phone"
"32","20260810_131021.jpg","yes","no","no","the photographer is reflected in the mirror"
"33","20260810_131025.jpg","no","no","no",""
"34","20260810_131029.jpg","no","no","no",""
"35","20260810_131129.jpg","no","no","no",""
"36","20260810_131137.jpg","no","yes","no","a large printed panel of a woman on the pillar; nobody in the room"
"37","20260810_131140.jpg","no","no","no",""
"38","20260810_131208.jpg","no","no","no",""
"39","20260810_131213.jpg","no","yes","no","printed panels of women on the far wall; nobody in the room"
"40","20260810_131218.jpg","yes","no","no","a person reflected in the mirror, small and distant"
"41","20260810_131223.jpg","yes","yes","no","the printed mural of the bearded man AND a real person reflected behind"
"42","20260810_131228.jpg","yes","yes","no","the printed mural of the bearded man AND a real person reflected behind"
"43","20260810_131233.jpg","yes","yes","no","the printed mural of the bearded man AND a real person reflected behind"
"44","20260810_131238.jpg","no","yes","no","a fragment of the printed mural at the upper left and a small printed panel in the distance"
"45","20260810_131248.jpg","no","no","no",""
"46","20260810_131307.jpg","no","no","no",""
"47","20260810_131311.jpg","no","no","no",""
"48","20260810_131350.jpg","no","no","no",""
"49","20260810_131356.jpg","no","no","no",""
"50","20260810_131358.jpg","no","no","no","nobody indoors; a playground beyond the window"
"51","20260810_133034.jpg","yes","no","no","a person standing in the depth of the room by the window"
