id,title,poseTargetId,reason
ea_3_4_sit_up,3-4 Sit-up,situp,title match
ea_4_reverse_lunge_and_4_side_taps,4 Reverse Lunge and 4 Side Taps,lunge,title match
ea_ab_mat_sit_up,Ab Mat Sit-up,situp,title match
ea_ab_wheel_plank,Ab Wheel Plank,pushup,title match
ea_abdominal_crunches,Abdominal Crunches,situp,title match
ea_abdominal_crunches_with_hold,Abdominal Crunches with Hold,situp,title match
ea_air_bike_crunch,Air Bike Crunch,situp,title match
ea_air_swing_running,Air Swing Running,hinge,title match
ea_air_swing_side_to_side_swing,Air Swing Side to Side Swing,hinge,title match
ea_air_swing_walking,Air Swing Walking,hinge,title match
ea_air_twisting_crunch,Air Twisting Crunch,situp,title match
ea_alternate_arm_leg_plank,Alternate Arm Leg Plank,pushup,title match
ea_alternate_arm_leg_plank_hold,Alternate Arm Leg Plank Hold,pushup,title match
ea_alternate_arm_leg_plank_rest_pause,Alternate Arm Leg Plank Rest Pause,pushup,title match
ea_alternate_biceps_curl_resistance_band,Alternate Biceps Curl Resistance Band,curl,title match
ea_alternate_biceps_curl_standing_dumbbells,Alternate Biceps Curl Standing Dumbbells,curl,title match
ea_alternate_hammer_curl_standing_dumbbells,Alternate Hammer Curl Standing Dumbbells,curl,title match
ea_alternate_leg_raise_from_reverse_plank_position,Alternate Leg Raise From Reverse Plank Position,pushup,title match
ea_alternate_oblique_crunch,Alternate Oblique Crunch,situp,title match
ea_alternate_single_leg_raises_plank,Alternate Single Leg Raises Plank,pushup,title match
ea_alternate_sprinter_lunge,Alternate Sprinter Lunge,lunge,title match
ea_alternating_biceps_hammer_curl_resistance_band,Alternating Biceps Hammer Curl Resistance Band,curl,title match
ea_alternating_hamstring_curl,Alternating Hamstring Curl,curl,title match
ea_alternating_hamstring_curl_with_punch,Alternating Hamstring Curl with Punch,curl,title match
ea_alternating_lunge_with_rotation,Alternating Lunge with Rotation,lunge,title match
ea_alternating_oblique_sit_ups,Alternating Oblique Sit-ups,situp,title match
ea_archer_push_up,Archer Push Up,pushup,title match
ea_arm_swing_side_to_side,Arm Swing Side to Side,hinge,title match
ea_band_behind_neck_shoulder_press,Band Behind Neck Shoulder Press,overhead_press,title match
ea_band_bicycle_crunch,Band Bicycle Crunch,situp,title match
ea_band_close_grip_biceps_curl,Band Close-grip Biceps Curl,curl,title match
ea_band_concentration_curl,Band Concentration Curl,curl,title match
ea_band_cross_chest_biceps_curl,Band Cross Chest Biceps Curl,curl,title match
ea_band_deadlift,Band Deadlift,hinge,title match
ea_band_decline_sit_up,Band Decline Sit Up,situp,title match
ea_band_incline_alternate_hammer_curl,Band Incline Alternate Hammer Curl,curl,title match
ea_band_incline_biceps_curl,Band Incline Biceps Curl,curl,title match
ea_band_incline_hammer_curl,Band Incline Hammer Curl,curl,title match
ea_band_kneeling_crunch,Band Kneeling Crunch,situp,title match
ea_band_kneeling_preacher_curl,Band Kneeling Preacher Curl,curl,title match
ea_band_prone_incline_curl,Band Prone Incline Curl,curl,title match
ea_band_prone_incline_hammer_curl,Band Prone Incline Hammer Curl,curl,title match
ea_band_push_up,Band Push-up,pushup,title match
ea_band_reverse_spider_curl,Band Reverse Spider Curl,curl,title match
ea_band_single_arm_overhead_press,Band Single Arm Overhead Press,overhead_press,title match
ea_band_single_leg_split_squat,Band Single Leg Split Squat,lunge,title match
ea_band_spanish_split_squat,Band Spanish Split Squat,lunge,title match
ea_band_two_legs_calf_raise_band_under_both_legs_version_2,Band Two Legs Calf Raise - (band Under Both Legs) Version 2,calf_raise,title match
