id,title,verdict,heuristic_pick,chosen_clip,vendor_stem,reason
barbell_squat,Barbell Squat,accept,barbell full squat,barbell full squat,barbell full squat,"frame: barbell back squat, 'full' is depth"
bench_dips,Bench Dips,accept,bench dip floor,bench dip on floor,bench dip floor,feet on the floor IS the standard bench dip
vid_stretching_bridge_pose_setu_bandhasana,Bridge Pose,accept,bandhasana bridge pose setu,bridge pose setu bandhasana,bandhasana bridge pose setu,
vid_cable_front_raise,Cable Front Raise,accept,bar cable front raise straight,cable front raises straight bar,bar cable front raise straight,
vid_chin_ups_narrow_parallel_grip,Chin-Up - Narrow Parallel Grip,accept,chin grip narrow parallel ups,chin ups (narrow parallel grip),chin grip narrow parallel ups,
fedb_close-grip_ez_bar_curl,Close-Grip EZ Bar Curl,accept,bar biceps close curl ezbar grip,ez bar biceps curl close grip,bar biceps close curl ezbar grip,
fedb_dip_machine,Dip Machine,accept,dip machine triceps,triceps dip machine,dip machine triceps,
vid_dumbbell_biceps_curl,Dumbbell Biceps Curl,accept,biceps curl dumbbell simultaneous,dumbbell simultaneous biceps curl,biceps curl dumbbell simultaneous,'simultaneous' = both arms = the plain curl
vid_dumbbell_cross_body_hammer_curl,Dumbbell Cross-Body Hammer Curl,accept,2 body cross curl dumbbell hammer,dumbbell cross body hammer curl (version 2),2 body cross curl dumbbell hammer,
vid_dumbbell_incline_biceps_curl,Dumbbell Incline Biceps Curl,accept,biceps curl dumbbell incline simultaneous,dumbbell incline biceps simultaneous curl,biceps curl dumbbell incline simultaneous,
vid_dumbbell_incline_hammer_curl,Dumbbell Incline Hammer Curl,accept,curl dumbbell hammer incline simultaneous,dumbbell incline hammer simultaneous curl,curl dumbbell hammer incline simultaneous,
fedb_dumbbell_one-arm_shoulder_press,Dumbbell One-Arm Shoulder Press,accept,2 arm dumbbell one press shoulder,dumbbell one arm shoulder press (version 2),2 arm dumbbell one press shoulder,
vid_dumbbell_alternate_seated_biceps_curl,Dumbbell Seated Alternating Curl,accept,alternating biceps curl dumbbell seated,alternating biceps curl seated dumbbells,alternating biceps curl dumbbell seated,
vid_dumbbell_single_leg_calf_raise,Dumbbell Single-Leg Calf Raise,accept,calf dumbbell leg raise single support wall,dumbbell single leg calf raise wall support,calf dumbbell leg raise single support wall,"the wall is balance support, not a different exercise"
vid_dumbbell_bar_grip_sumo_squat,Dumbbell Sumo Squat,accept,bar dumbbell grip squat sumo,dumbbell bar grip sumo squat,bar dumbbell grip squat sumo,same filename as the clip we already show
vid_ez_barbell_biceps_curl,EZ-Bar Biceps Curl,accept,bar biceps curl ezbar grip normal,ez bar biceps curl normal grip,bar biceps curl ezbar grip normal,
