exercise_id,title_en,title_ru,group,primary_muscles,equipment_id,difficulty,missing_version,existing_reference_clip
ea_45_degree_bicycle_twist_knee_to_elbow,45 Degree Bicycle Twist Knee to Elbow,Скручивания «велосипед» под углом 45 градусов (колено к локтю),Abdominals,core,back_extension,beginner,female,exercises/men/Abdominals/45 degree bicycle twist knee to elbow.mp4
ea_90_degree_heel_touch,90 Degree Heel Touch,Касание пяток под углом 90 градусов,Abdominals,core,,beginner,female,exercises/men/Abdominals/90 degree heel touch.mp4
ea_air_bike_crunch,Air Bike Crunch,Скручивания «велосипед»,Abdominals,core,,beginner,female,exercises/men/Abdominals/air bike crunch.mp4
ea_alternate_arm_leg_plank,Alternate Arm Leg Plank,Планка с попеременным подъёмом руки и ноги,Abdominals,shoulders; glutes,,beginner,female,exercises/men/Abdominals/Alternate Arm Leg Plank.mp4
ea_alternate_arm_leg_plank_hold,Alternate Arm Leg Plank Hold,Планка с попеременным удержанием руки и ноги,Abdominals,shoulders; glutes,,beginner,female,exercises/men/Abdominals/alternate arm leg plank hold.mp4
ea_alternate_arm_leg_plank_rest_pause,Alternate Arm Leg Plank Rest Pause,Планка с попеременным подъёмом руки и ноги с паузой,Abdominals,shoulders,,beginner,female,exercises/men/Abdominals/alternate arm leg plank rest pause.mp4
ea_alternate_heel_touches,Alternate Heel Touches,Попеременные касания пяток,Abdominals,core,,beginner,female,exercises/men/Abdominals/Alternate heel touches.mp4
ea_arm_rotation_knee_lift,Arm Rotation Knee Lift,Вращение руками с подъёмом колена,Abdominals,lower_back; core,,beginner,female,exercises/men/Abdominals/Arm rotation knee lift.mp4
ea_assisted_sit_ups,Assisted Sit Ups,Скручивания с поддержкой,Abdominals,core,,beginner,female,exercises/men/Abdominals/Assisted sit ups.mp4
ea_barbell_rollout,Barbell Rollout,Выкатывание штанги,Abdominals,core,barbell,beginner,female,exercises/men/Abdominals/Barbell rollout.mp4
ea_barbell_seated_twist,Barbell Seated Twist,Повороты корпуса сидя со штангой,Abdominals,core,bench_press,beginner,female,exercises/men/Abdominals/Barbell seated twist.mp4
ea_barbell_seated_twist_on_exercise_ball,Barbell Seated Twist on Exercise Ball,Повороты корпуса сидя на фитболе со штангой,Abdominals,core,barbell,beginner,female,exercises/men/Abdominals/barbell seated twist on exercise ball.mp4
ea_barbell_side_bends,Barbell Side Bends,Наклоны в стороны со штангой,Abdominals,core,barbell,beginner,female,exercises/men/Abdominals/Barbell side bends.mp4
ea_barbell_standing_twist,Barbell Standing Twist,Повороты корпуса со штангой на плечах стоя,Abdominals,core,barbell,beginner,female,exercises/men/Abdominals/Barbell standing twist.mp4
ea_bench_decline_ab_sit_ups,Bench Decline Ab Sit-ups,Скручивания на наклонной скамье,Abdominals,core,bench_press,beginner,female,exercises/men/Abdominals/bench decline ab sit-ups.mp4
ea_bench_knee_tucks,Bench Knee Tucks,Подтягивание коленей к груди на скамье,Abdominals,core,bench_press,beginner,female,exercises/men/Abdominals/bench knee tucks.mp4
ea_bent_knee_lying_twist,Bent Knee Lying Twist,Скручивания лежа с согнутыми коленями,Abdominals,core,,beginner,female,exercises/men/Abdominals/Bent knee Lying Twist.mp4
ea_bent_knee_lying_twist_on_stability_ball,Bent Knee Lying Twist (on Stability Ball),Скручивания лежа с согнутыми коленями (на фитболе),Abdominals,core,stability_ball,beginner,female,exercises/men/Abdominals/Bent knee Lying Twist (On Stability Ball).mp4
ea_bicycle_twisting_crunch,Bicycle Twisting Crunch,Скручивания «велосипед» с поворотом,Abdominals,core,,beginner,female,exercises/men/Abdominals/bicycle twisting crunch.mp4
ea_bicycles,Bicycles,Велосипед,Abdominals,core; lower_back,,beginner,female,exercises/men/Abdominals/bicycles.mp4
ea_bicycles_crunches,Bicycles Crunches,Скручивания «велосипед»,Abdominals,core,,beginner,female,exercises/men/Abdominals/bicycles crunches.mp4
ea_bottoms_up_half_rep,Bottoms-up Half Rep,Частичное повторение с подъёмом ног,Abdominals,core,,beginner,female,exercises/men/Abdominals/Bottoms-Up half rep.mp4
ea_brazilian_crunches,Brazilian Crunches,Бразильские скручивания,Abdominals,core,,beginner,female,exercises/men/Abdominals/brazilian crunches.mp4
