id,our_title,equipmentId,muscles,match_kind,vendor_name,score
3_4_sit_up,3/4 Sit-Up,,core,exact,3-4 Sit-up,1.00
vid_45_degree_bycicle_twisting_crunch,45-Degree Bicycle Twisting Crunch,,core,exact,45 degree Bicycle Twisting Crunch,1.00
vid_45_degree_side_bend,45-Degree Side Bend,back_extension,core|lower_back,exact,45 Degree Side Bend,1.00
ab_crunch_machine,Ab Crunch Machine,ab_crunch_machine,core,exact,Abdominal Crunches Machine,1.00
vid_stretching_above_head_chest_stretch,Above-Head Chest Stretch,,chest|shoulders,exact,Above Head Chest Stretch,1.00
vid_stretching_adductor_stretch,Adductor Stretch,,adductors,exact,adductor stretch,1.00
air_bike,Air Bike,,core,exact,air bike,1.00
vid_air_twisting_crunch,Air Twisting Crunch,,core,exact,air twisting crunch,1.00
all_fours_quad_stretch,All Fours Quad Stretch,,quads,exact,ALL FOURS QUAD STRETCH,1.00
vid_stretching_all_fours_squad_stretch,All-Fours Quad Stretch,,quads,exact,ALL FOURS QUAD STRETCH,1.00
alternate_incline_dumbbell_curl,Alternate Incline Dumbbell Curl,dumbbell,biceps|forearms,exact,Dumbbell Incline Alternate Curl,1.00
arnold_dumbbell_press,Arnold Dumbbell Press,dumbbell,shoulders|triceps,exact,Arnold press dumbbell,1.00
fedb_ball_leg_curl,Ball Leg Curl,leg_curl,hamstrings|calves|glutes,exact,Exercise Ball Leg Curl,1.00
vid_band_bent_over_hip_extension,Band Bent-Over Hip Extension,resistance_bands,glutes|hamstrings,exact,Band Bent-over Hip Extension,1.00
vid_band_bent_over_row,Band Bent-Over Row,resistance_bands,back|lats|biceps,exact,Band bent-over row,1.00
vid_band_decline_sit_ups,Band Decline Sit-Up,resistance_bands,core,exact,Band Decline Sit up,1.00
vid_band_high_fly,Band High Fly,resistance_bands,chest|shoulders|triceps,exact,Band high fly,1.00
vid_band_hip_adduction,Band Hip Adduction,resistance_bands,adductors,exact,Band Hip Adduction,1.00
vid_band_side_bend,Band Side Bend,resistance_bands,core,exact,Band side bend,1.00
vid_band_standing_rear_delt_row,Band Standing Rear Delt Row,resistance_bands,shoulders|back,exact,Band standing rear delt row,1.00
vid_stretching_band_warm_up_shoulder_stretch,Band Warm-Up Shoulder Stretch,resistance_bands,shoulders|chest,exact,Band Warm up Shoulder Stretch,1.00
vid_barbell_clean_and_press,Barbell Clean and Press,barbell,quads|glutes|shoulders|traps,exact,Barbell clean and press,1.00
barbell_curl,Barbell Curl,barbell,biceps|forearms,exact,Barbell Curl,1.00
barbell_deadlift,Barbell Deadlift,barbell,lower_back|calves|forearms|glutes|hamstrings|lats|back|quads|traps,exact,Barbell Deadlift,1.00
vid_barbell_drag_curl,Barbell Drag Curl,barbell,biceps|forearms,exact,Barbell drag curl,1.00
vid_barbell_front_raise,Barbell Front Raise,barbell,shoulders,exact,Front raises barbell,1.00
vid_barbell_front_chest_squat,Barbell Front Squat,barbell,quads|glutes|hamstrings,exact,Barbell front squats,1.00
barbell_full_squat,Barbell Full Squat,squat_rack,quads|calves|glutes|hamstrings|lower_back,exact,Barbell Full Squat,1.00
fedb_barbell_glute_bridge,Barbell Glute Bridge,barbell,glutes|calves|hamstrings,exact,Barbell glute bridge,1.00
fedb_barbell_hip_thrust,Barbell Hip Thrust,barbell,glutes|calves|hamstrings,exact,Barbell Hip Thrust,1.00
fedb_barbell_lunge,Barbell Lunge,barbell,quads|calves|glutes|hamstrings,exact,Barbell lunges,1.00
barbell_side_split_squat,Barbell Side Split Squat,squat_rack,quads|calves|hamstrings|lower_back,exact,Barbell side split squat,1.00
barbell_squat_to_a_bench,Barbell Squat To A Bench,squat_rack,quads|calves|glutes|hamstrings|lower_back,exact,Barbell bench squats,1.00
vid_barbell_straight_leg_deadlift,Barbell Straight-Leg Deadlift,barbell,hamstrings|glutes|back|lower_back,exact,Barbell straight leg deadlift,1.00
vid_barbell_upright_row_wide_grip,Barbell Upright Row - Wide Grip,barbell,shoulders|traps,exact,Barbell wide grip upright row,1.00
bench_press_with_bands,Bench Press - With Bands,bench_press,chest|shoulders|triceps,exact,Band Bench Press,1.00
vid_bent_knee_lying_twist,Bent Knee Lying Twist,,core|lower_back,exact,Bent knee lying twist,1.00
vid_bent_knee_lying_twist_on_stability_ball,Bent Knee Lying Twist on a Stability Ball,stability_ball,core,exact,Bent knee lying twist (on stability ball),1.00
bent_arm_dumbbell_pullover,Bent-Arm Dumbbell Pullover,dumbbell,chest|lats|shoulders|triceps,exact,Dumbbell Bent Arm Pullover,1.00
vid_stretching_boat_stretch,Boat Stretch,,core|hamstrings,exact,Boat stretch,1.00
fedb_body-up,Body-Up,,triceps|core|forearms,exact,Body-up,1.00
fedb_bodyweight_squat,Bodyweight Squat,,quads|glutes|hamstrings,exact,bodyweight squats,1.00
vid_burpee,Burpee,,quads|chest|core|shoulders,exact,Burpee,1.00
vid_stretching_butterfly_yoga_pose,Butterfly Yoga Pose,,adductors,exact,Butterfly yoga pose,1.00
vid_cable_crossover_reverse_fly,Cable Crossover Reverse Fly,cable_machine,shoulders|back,exact,Reverse cable fly on crossover,1.00
vid_cable_lateral_raise,Cable Lateral Raise,cable_machine,shoulders,exact,Cable lateral raises,1.00
vid_cable_lying_triceps_extension,Cable Lying Triceps Extension,cable_machine,triceps,exact,Cable lying triceps extension,1.00
vid_cable_one_arm_curl,Cable One-Arm Curl,cable_machine,biceps|forearms,exact,Cable one arm curl,1.00
vid_cable_one_arm_forward_raise,Cable One-Arm Front Raise,cable_machine,shoulders,exact,Cable one arm front raise,1.00
vid_cable_one_arm_lateral_pulldown,Cable One-Arm Lat Pulldown,cable_machine,back|lats|biceps,exact,Cable one arm lat pulldown,1.00
fedb_cable_preacher_curl,Cable Preacher Curl,preacher_curl_bench,biceps|forearms,exact,Cable preacher curl,1.00
