id,our_title,equipmentId,muscles,match_kind,vendor_name,score
3_4_sit_up,3/4 Sit-Up,,core,exact,3-4 Sit-up,1.00
ab_crunch_machine,Ab Crunch Machine,ab_crunch_machine,core,exact,Abdominal Crunches Machine,1.00
air_bike,Air Bike,,core,exact,air bike,1.00
all_fours_quad_stretch,All Fours Quad Stretch,,quads,exact,ALL FOURS QUAD STRETCH,1.00
barbell_deadlift,Barbell Deadlift,barbell,lower_back|calves|forearms|glutes|hamstrings|lats|back|quads|traps,exact,Barbell Deadlift,1.00
barbell_full_squat,Barbell Full Squat,squat_rack,quads|calves|glutes|hamstrings|lower_back,exact,Barbell Full Squat,1.00
fedb_barbell_glute_bridge,Barbell Glute Bridge,barbell,glutes|calves|hamstrings,exact,Barbell glute bridge,1.00
fedb_barbell_hip_thrust,Barbell Hip Thrust,barbell,glutes|calves|hamstrings,exact,Barbell Hip Thrust,1.00
barbell_side_split_squat,Barbell Side Split Squat,squat_rack,quads|calves|hamstrings|lower_back,exact,Barbell side split squat,1.00
barbell_squat_to_a_bench,Barbell Squat To A Bench,squat_rack,quads|calves|glutes|hamstrings|lower_back,exact,Barbell bench squats,1.00
bench_press_with_bands,Bench Press - With Bands,bench_press,chest|shoulders|triceps,exact,Band Bench Press,1.00
bent_arm_dumbbell_pullover,Bent-Arm Dumbbell Pullover,dumbbell,chest|lats|shoulders|triceps,exact,Dumbbell Bent Arm Pullover,1.00
fedb_body-up,Body-Up,,triceps|core|forearms,exact,Body-up,1.00
fedb_cable_preacher_curl,Cable Preacher Curl,preacher_curl_bench,biceps|forearms,exact,Cable preacher curl,1.00
fedb_cable_rear_delt_fly,Cable Rear Delt Fly,pec_deck,shoulders,exact,Cable rear delt fly,1.00
fedb_deadlift_with_bands,Deadlift with Bands,resistance_bands,lower_back|forearms|glutes|hamstrings|back|quads|traps,exact,Band Deadlift,1.00
fedb_decline_dumbbell_flyes,Decline Dumbbell Flyes,dumbbell,chest,exact,Dumbbell decline fly,1.00
fedb_flat_bench_cable_flyes,Flat Bench Cable Flyes,adjustable_bench,chest,exact,Flat bench cable fly,1.00
fedb_front_plate_raise,Front Plate Raise,weight_plates,shoulders,exact,Plate front raise,1.00
fedb_lateral_box_jump,Lateral Box Jump,plyo_box,adductors|calves|glutes|hamstrings|quads,exact,Lateral Box Jump,1.00
fedb_reverse_machine_flyes,Reverse Machine Flyes,pec_deck,shoulders,exact,Reverse Machine Fly,1.00
advanced_kettlebell_windmill,Advanced Kettlebell Windmill,kettlebell,core|glutes|hamstrings|shoulders,likely,Kettlebell Windmill,0.67
air_bike_intervals,Air Bike Intervals,air_bike,quads|hamstrings|shoulders|core,likely,Air Bike (VERSION 2),0.67
alternate_heel_touchers,Alternate Heel Touchers,,core,likely,Alternate heel touch side kick squat,0.67
alternating_cable_shoulder_press,Alternating Cable Shoulder Press,cable_machine,shoulders|triceps,likely,Lateral raise to shoulder press Resistance band cable,0.75
alternating_deltoid_raise,Alternating Deltoid Raise,dumbbell,shoulders,likely,Bridge with alternating leg raise,0.67
alternating_floor_press,Alternating Floor Press,kettlebell,chest|core|shoulders|triceps,likely,Barbell floor chest press,0.67
alternating_hang_clean,Alternating Hang Clean,kettlebell,hamstrings|biceps|calves|forearms|glutes|lower_back|traps,likely,Barbell Hang Clean,0.67
alternating_kettlebell_press,Alternating Kettlebell Press,kettlebell,shoulders|triceps,likely,Dumbbell Alternating Arnold Press,0.67
alternating_kettlebell_row,Alternating Kettlebell Row,kettlebell,back|biceps|lats,likely,Dumbbell Alternating Pendlay Row,0.67
alternating_renegade_row,Alternating Renegade Row,kettlebell,back|core|biceps|chest|lats|triceps,likely,Dumbbell Alternating Pendlay Row,0.67
fedb_back_flyes_-_with_bands,Back Flyes - With Bands,resistance_bands,shoulders|back|triceps,likely,Band Chest Fly,0.67
fedb_backward_medicine_ball_throw,Backward Medicine Ball Throw,medicine_ball,shoulders,likely,Medicine Ball Chest Throw With Abs,0.75
barbell_ab_rollout,Barbell Ab Rollout,barbell,core|lower_back|shoulders,likely,Barbell rollout,0.67
barbell_bench_press_medium_grip,Barbell Bench Press - Medium Grip,bench_press,chest|shoulders|triceps,likely,Barbell close grip bench press,0.80
barbell_hack_squat,Barbell Hack Squat,squat_rack,quads|calves|forearms|hamstrings,likely,Barbell  squat back POV,0.67
fedb_barbell_incline_shoulder_raise,Barbell Incline Shoulder Raise,barbell,shoulders|chest,likely,Barbell Incline Shoulders Press (inside squat cage),0.75
fedb_barbell_seated_calf_raise,Barbell Seated Calf Raise,calf_raise_machine,calves,likely,Barbell seated on knee calve raises,0.75
barbell_walking_lunge,Barbell Walking Lunge,barbell,quads|calves|glutes|hamstrings,likely,Barbell Curtsy Lunge,0.67
bench_press_powerlifting,Bench Press - Powerlifting,bench_press,triceps|chest|forearms|lats|shoulders,likely,Band Bench Press,0.67
bench_press_with_chains,Bench Press with Chains,bench_press,triceps|chest|lats|shoulders,likely,Band Bench Press,0.67
fedb_bent-knee_hip_raise,Bent-Knee Hip Raise,,core,likely,Resistance Band Lying Bent Knee Hip Abduction,0.75
fedb_body_tricep_press,Body Tricep Press,,triceps,likely,Band Cross Body One Arm Chest Press,0.67
