id,title,sheet_claim,equipment_seen,confidence,matches_sheet_claim,registry_machine,status,note
ea_dumbbell_standing_wrist_curl,Dumbbell Standing Wrist Curl,Dumbbells,Barbell,1.0,False,none,DISAGREEMENT,"REJECTED on manual review: poster clearly shows dumbbells, not a barbell"
ea_dumbbell_supported_sissy_squat,Dumbbell Supported Sissy Squat,Dumbbells,Sissy squat machine,1.0,False,none,DISAGREEMENT,
ea_ab_mat_sit_up,Ab Mat Sit-up,,Ab mat,1.0,,none,unresolved,
ea_agility_ladder_advanced_hop_position,Agility Ladder Advanced Hop Position,,Agility ladder,1.0,,none,unresolved,
ea_agility_ladder_advanced_single_leg,Agility Ladder Advanced Single-leg,,agility ladder,1.0,,none,unresolved,
ea_agility_ladder_advancing_laterally_switching_base,Agility Ladder Advancing Laterally Switching Base,,agility ladder,1.0,,none,unresolved,
ea_agility_ladder_lateral_movement_in_in_out,Agility Ladder Lateral Movement in in Out,,agility ladder,1.0,,none,unresolved,
ea_agility_ladder_lateral_movement_with_double_hop,Agility Ladder Lateral Movement with Double Hop,,agility ladder,1.0,,none,unresolved,
ea_agility_ladder_skipping_1_touch,Agility Ladder Skipping 1 Touch,,agility ladder,1.0,,none,unresolved,
ea_agility_ladder_skipping_2_touches,Agility Ladder Skipping 2 Touches,,agility ladder,1.0,,none,unresolved,
ea_agility_ladder_in_in_out_out,Agility Ladder in in Out Out,,agility ladder,1.0,,none,unresolved,
ea_agility_ladder_in_in_out_out_moving_laterally,Agility Ladder in in Out Out Moving Laterally,,agility ladder,1.0,,none,unresolved,
ea_agility_ladder_in_in_out_out_with_knee_lift,Agility Ladder in in Out Out with Knee Lift,,agility ladder,1.0,,none,unresolved,
ea_air_swing_running,Air Swing Running,,Air walker / outdoor elliptical machine,0.9,,none,unresolved,
ea_air_swing_side_to_side_swing,Air Swing Side to Side Swing,,outdoor air swing machine,0.9,,none,unresolved,
ea_air_swing_walking,Air Swing Walking,,outdoor air walker machine,0.9,,none,unresolved,
ea_balance_board_version_2,Balance Board (version 2),Balance Board,Balance Board,1.0,True,none,unresolved,
ea_balance_board_lateral_squat,Balance Board Lateral Squat,Balance Board,Balance Board,1.0,True,none,unresolved,
ea_balloon_drill,Balloon Drill,Balloon,Balloon,1.0,True,none,unresolved,
ea_bent_arm_chest_stretch,Bent Arm Chest Stretch,,wall,1.0,,none,unresolved,
ea_bodyweight_standing_around_world_wall_supported,Bodyweight Standing Around World Wall Supported,,wall,1.0,,none,unresolved,
ea_both_arms_behind_on_wall_biceps_stretch,Both Arms Behind on Wall Biceps Stretch,,wall,1.0,,none,unresolved,
ea_bulgarian_split_squat_stretch,Bulgarian Split Squat Stretch,,wall,1.0,,none,unresolved,
ea_calf_push_stretch_with_hands_against_wall_v_2,Calf Push Stretch with Hands Against Wall V.2,,wall,1.0,,none,unresolved,
ea_calf_raise_from_deficit_with_chair_supported,Calf Raise From Deficit with Chair Supported,,"chair, step platform",1.0,,none,unresolved,
ea_calf_raise_with_wall_support,Calf Raise with Wall Support,,wall,1.0,,none,unresolved,
ea_calve_stretch_foot_on_wall,Calve Stretch Foot on Wall,,wall,1.0,,none,unresolved,
ea_calve_stretch_from_wall_to_floor,Calve Stretch From Wall to Floor,,wall,1.0,,none,unresolved,
ea_calves_stretch_on_step,Calves Stretch on Step,,"step, wall",1.0,,none,unresolved,
ea_chair_bulgarian_split_squats_bodyweight_left,Chair Bulgarian Split Squats Bodyweight Left,,chair,1.0,,none,unresolved,
