id,title,resolved,from,evidence
ea_180_jump_turns,180 Jump Turns,None (Bodyweight),frame,read from the clip's own still
ea_5_sec_fist_against_chin,5 Sec Fist Against Chin,None (Bodyweight),frame,read from the clip's own still
ea_abs_snails,Abs Snails,None (Bodyweight),frame,read from the clip's own still
ea_agility_ladder_advanced_hop_position,Agility Ladder Advanced Hop Position,Agility Ladder,title,agility ladder
ea_agility_ladder_advanced_single_leg,Agility Ladder Advanced Single-leg,Agility Ladder,title,agility ladder
ea_agility_ladder_advancing_laterally_switching_base,Agility Ladder Advancing Laterally Switching Base,Agility Ladder,title,agility ladder
ea_agility_ladder_in_in_out_out,Agility Ladder in in Out Out,Agility Ladder,title,agility ladder
ea_agility_ladder_in_in_out_out_moving_laterally,Agility Ladder in in Out Out Moving Laterally,Agility Ladder,title,agility ladder
ea_agility_ladder_in_in_out_out_with_knee_lift,Agility Ladder in in Out Out with Knee Lift,Agility Ladder,title,agility ladder
ea_agility_ladder_lateral_movement_in_in_out,Agility Ladder Lateral Movement in in Out,Agility Ladder,title,agility ladder
ea_agility_ladder_lateral_movement_with_double_hop,Agility Ladder Lateral Movement with Double Hop,Agility Ladder,title,agility ladder
ea_agility_ladder_skipping_1_touch,Agility Ladder Skipping 1 Touch,Agility Ladder,title,agility ladder
ea_agility_ladder_skipping_2_touches,Agility Ladder Skipping 2 Touches,Agility Ladder,title,agility ladder
ea_air_swing_running,Air Swing Running,Dip Bars,frame,read from the clip's own still
ea_air_swing_side_to_side_swing,Air Swing Side to Side Swing,Dip Bars,frame,read from the clip's own still
ea_air_swing_walking,Air Swing Walking,Dip Bars,frame,read from the clip's own still
ea_alternate_biceps_curl_resistance_band,Alternate Biceps Curl Resistance Band,Resistance Band,title,resistance band
ea_alternate_biceps_curl_standing_dumbbells,Alternate Biceps Curl Standing Dumbbells,Dumbbells,title,dumbbell
ea_ankle_pumps,Ankle Pumps,None (Bodyweight),frame,read from the clip's own still
ea_arms_behind_back_chest_stretch,Arms Behind Back Chest Stretch,None (Bodyweight),frame,read from the clip's own still
ea_arms_lateral_raise_and_rotation_up,Arms Lateral Raise and Rotation Up,None (Bodyweight),frame,read from the clip's own still
ea_arms_wide_chest_stretch,Arms Wide Chest Stretch,None (Bodyweight),frame,read from the clip's own still
ea_assisted_sit_up,Assisted Sit-up,A Partner,steps,partner
ea_ball_slams,Ball Slams,Exercise Ball,title,ball
ea_band_behind_neck_shoulder_press,Band Behind Neck Shoulder Press,Resistance Band,title,band
ea_band_bench_press,Band Bench Press,Bench,title,bench
