id,title,sheet_claim,equipment_seen,confidence,matches_sheet_claim,registry_machine,status,note
ea_180_jump_turns,180 Jump Turns,,none,1.0,,none,confirmed_no_equipment,
ea_3_4_sit_up,3-4 Sit-up,,none,1.0,,none,confirmed_no_equipment,
ea_3_leg_chatarunga_pose,3 Leg Chatarunga Pose,,none,1.0,,none,confirmed_no_equipment,
ea_3_leg_dog_pose,3 Leg Dog Pose,,none,1.0,,none,confirmed_no_equipment,
ea_45_degree_bicycle_twist_knee_to_elbow,45 Degree Bicycle Twist Knee to Elbow,Hyperextension Bench,Hyperextension Bench,1.0,True,Back extension bench,resolved,
ea_45_degree_bicycle_twisting,45 Degree Bicycle Twisting,Hyperextension Bench,Hyperextension Bench,1.0,True,Back extension bench,resolved,
ea_45_degree_bicycle_twisting_crunch,45 Degree Bicycle Twisting Crunch,Hyperextension Bench,Hyperextension Bench,1.0,True,Back extension bench,resolved,
ea_45_degree_hyperextension_arms_in_front_of_chest,45 Degree Hyperextension (arms in Front of Chest),Hyperextension Bench,Hyperextension Bench,1.0,True,Back extension bench,resolved,
ea_45_degree_hyperextension_arms_to_chest,45 Degree Hyperextension Arms to Chest,Hyperextension Bench,Hyperextension Bench,1.0,True,Back extension bench,resolved,
ea_45_degree_side_bend,45 Degree Side Bend,Hyperextension Bench,Hyperextension Bench,1.0,True,Back extension bench,resolved,
ea_45_degree_twisting_hyperextension,45 Degree Twisting Hyperextension,Hyperextension Bench,Hyperextension Bench,1.0,True,Back extension bench,resolved,
ea_45_degrees_step_out,45 Degrees Step Out,,none,1.0,,none,confirmed_no_equipment,
ea_4_corners_curtsy,4 Corners Curtsy,,none,1.0,,none,confirmed_no_equipment,
ea_4_corners_side_step,4 Corners Side Step,,none,1.0,,none,confirmed_no_equipment,
ea_4_punches_side_squat,4 Punches Side Squat,,none,1.0,,none,confirmed_no_equipment,
ea_4_reverse_lunge_and_4_side_taps,4 Reverse Lunge and 4 Side Taps,,none,1.0,,none,confirmed_no_equipment,
ea_5_sec_fist_against_chin,5 Sec Fist Against Chin,,none,1.0,,none,confirmed_no_equipment,
ea_90_degree_heel_touch,90 Degree Heel Touch,,none,1.0,,none,confirmed_no_equipment,
