Internal ID,Exercise Name,Existing File Name,Missing Version,Variation Notes,Reference Video URL
ea_4_reverse_lunge_and_4_side_taps,4 Reverse Lunge and 4 Side Taps,4 Reverse Lunge and 4 Side Taps.mp4,Male,,
ea_45_degrees_step_out,45 Degrees Step Out,45 degrees Step Out.mp4,Male,,
ea_alternate_heel_touch_side_kick_squat,Alternate Heel Touch Side Kick Squat,alternate heel touch side kick squat.mp4,Female,,
ea_balance_board_version_2,Balance Board (version 2),Balance Board (VERSION 2).mp4,Male,,
ea_band_bent_over_hip_extension,Band Bent-over Hip Extension,Band Bent-over Hip Extension.mp4,Male,,
ea_band_kneeling_rear_kick,Band Kneeling Rear Kick,band kneeling rear kick.mp4,Male,,
ea_band_single_leg_split_squat,Band Single Leg Split Squat,Band single leg split squat.mp4,Male,,
ea_band_standing_leg_curl,Band Standing Leg Curl,Band Standing Leg Curl.mp4,Male,,
ea_band_two_legs_calf_raise_band_under_both_legs_version_2,Band Two Legs Calf Raise - (band Under Both Legs) Version 2,Band Two Legs Calf Raise - (Band under both legs) VERSION 2.mp4,Male,,
ea_barbell_bench_lateral_step_up,Barbell Bench Lateral Step-up,Barbell Bench Lateral Step-up.mp4,Male,,
ea_barbell_bulgarian_split_squat_left_front_back_view,Barbell Bulgarian Split Squat Left Front-back View,Barbell bulgarian split squat left front-back view.mp4,Female,,
ea_barbell_bulgarian_split_squat_left_side_view,Barbell Bulgarian Split Squat Left Side View,barbell bulgarian split squat left side view.mp4,Female,,
ea_barbell_front_bench_squat,Barbell Front Bench Squat,barbell front bench squat.mp4,Male,,
ea_barbell_front_chest_bench_squat,Barbell Front Chest Bench Squat,barbell front chest bench squat.mp4,Female,,
ea_barbell_front_chest_lunges,Barbell Front Chest Lunges,barbell front chest lunges.mp4,Female,,
ea_barbell_front_lunges_with_small_pause,Barbell Front Lunges with Small Pause,Barbell front lunges with small pause.mp4,Female,,
ea_barbell_front_rack_lunge,Barbell Front Rack Lunge,barbell front rack lunge.mp4,Male,,
ea_barbell_full_squat_wide,Barbell Full Squat Wide,barbell full squat wide.mp4,Male,,
ea_barbell_full_squat_back,Barbell Full Squat(back),barbell full squat(back).mp4,Male,,
ea_barbell_full_squat_with_rack,Barbell Full Squat(with Rack),barbell full squat(with rack).mp4,Male,,
ea_barbell_glute_bridge,Barbell Glute Bridge,Barbell glute bridge.mp4,Female,,
ea_barbell_glute_bridge_hands_on_bar,Barbell Glute Bridge (hands on Bar),Barbell Glute Bridge (hands on bar).mp4,Male,,
ea_barbell_jefferson_split_squat,Barbell Jefferson Split Squat,Barbell jefferson split squat.mp4,Female,,
ea_barbell_kneeling_squat,Barbell Kneeling Squat,barbell kneeling squat.mp4,Female,,
ea_barbell_lunges_on_the_spot,Barbell Lunges on the Spot,barbell lunges on the spot.mp4,Female,,
ea_barbell_narrow_stance_full_squat,Barbell Narrow Stance Full Squat,barbell narrow stance full squat.mp4,Male,,
ea_barbell_narrow_stance_squat,Barbell Narrow Stance Squat,Barbell narrow stance squat.mp4,Female,,
ea_barbell_one_leg_hip_thrust,Barbell One Leg Hip Thrust,barbell one leg hip thrust.mp4,Female,,
ea_barbell_pause_lunge,Barbell Pause Lunge,Barbell Pause Lunge.mp4,Male,,
ea_barbell_quarter_squat,Barbell Quarter Squat,Barbell quarter squat.mp4,Female,,
ea_barbell_rear_lunge_on_box,Barbell Rear Lunge on Box,Barbell rear lunge on box.mp4,Female,,
ea_barbell_rear_lunges,Barbell Rear Lunges,Barbell rear lunges.mp4,Female,,
ea_barbell_seated_on_knee_calve_raises,Barbell Seated on Knee Calve Raises,barbell seated on knee calve raises.mp4,Female,,
ea_barbell_side_split_squat,Barbell Side Split Squat,Barbell side split squat.mp4,Female,,
ea_barbell_single_leg_split_squat,Barbell Single Leg Split Squat,Barbell single leg split squat.mp4,Female,,
ea_barbell_split_squat,Barbell Split Squat,Barbell split squat.mp4,Female,,
ea_barbell_squat_back_pov,Barbell Squat Back POV,Barbell squat back POV.mp4,Female,,
ea_barbell_squat_to_grass,Barbell Squat to Grass,Barbell squat to grass.mp4,Female,,
ea_barbell_squat_with_2_sec_hold,Barbell Squat with 2 Sec Hold,barbell squat with 2 sec hold.mp4,Female,,
ea_barbell_standing_leg_calf_raises,Barbell Standing Leg Calf Raises,Barbell standing leg calf raises.mp4,Female,,
ea_barbell_step_up_on_bench,Barbell Step Up on Bench,Barbell step up on bench.mp4,Female,,
ea_barbell_stiff_leg_deadlift,Barbell Stiff Leg Deadlift,Barbell stiff leg deadlift.mp4,Female,,
ea_barbell_straight_leg_deadlift,Barbell Straight Leg Deadlift,Barbell straight leg deadlift.mp4,Female,,
ea_barbell_sumo_romanian_deadlift,Barbell Sumo Romanian Deadlift,Barbell sumo romanian deadlift.mp4,Female,,
ea_bench_alternating_step_ups,Bench Alternating Step Ups,bench alternating step ups.mp4,Female,,
ea_bench_bulgarian_split_squats_left,Bench Bulgarian Split Squats Left,Bench Bulgarian Split Squats left.mp4,Female,,
ea_bench_bulgarian_split_squats_right,Bench Bulgarian Split Squats Right,Bench Bulgarian Split Squats Right.mp4,Female,,
ea_bent_knee_back_to_side_kick,Bent Knee Back to Side Kick,Bent Knee Back to Side Kick.mp4,Female,,
ea_bent_leg_side_kick_kneeling,Bent Leg Side Kick (kneeling),Bent Leg Side Kick (kneeling).mp4,Female,,
ea_bodyweight_calf_raises,Bodyweight Calf Raises,bodyweight calf raises.mp4,Female,,
ea_bodyweight_forward_lunge,Bodyweight Forward Lunge,Bodyweight Forward Lunge.mp4,Female,,
ea_bodyweight_full_squat_with_overhead_press,Bodyweight Full Squat with Overhead Press,Bodyweight full squat with overhead press.mp4,Female,,
ea_bodyweight_kneeling_hold_to_stand,Bodyweight Kneeling Hold to Stand,Bodyweight kneeling hold to stand.mp4,Female,,
ea_bodyweight_lying_leg_curl,Bodyweight Lying Leg Curl,bodyweight lying leg curl.mp4,Female,,
ea_bodyweight_overhead_squat,Bodyweight Overhead Squat,Bodyweight Overhead Squat.mp4,Female,,
ea_bodyweight_pulse_forward_lunge,Bodyweight Pulse Forward Lunge,Bodyweight Pulse Forward Lunge.mp4,Female,,
ea_bodyweight_pulse_squat,Bodyweight Pulse Squat,Bodyweight Pulse Squat.mp4,Female,,
ea_bodyweight_pulse_squat_arms_to_chest,Bodyweight Pulse Squat Arms to Chest,Bodyweight Pulse Squat arms to chest.mp4,Female,,
ea_bodyweight_rear_lunge,Bodyweight Rear Lunge,Bodyweight Rear Lunge.mp4,Female,,
ea_bodyweight_rear_lunge_front_raise,Bodyweight Rear Lunge Front Raise,Bodyweight Rear Lunge front raise.mp4,Female,,
ea_bodyweight_single_leg_deadlift,Bodyweight Single Leg Deadlift,Bodyweight Single Leg Deadlift.mp4,Female,,
ea_bodyweight_squat_to_front_leg,Bodyweight Squat to Front Leg,Bodyweight Squat to Front Leg.mp4,Female,,
ea_bodyweight_squat_to_side_leg,Bodyweight Squat to Side Leg,Bodyweight Squat to Side Leg.mp4,Female,,
ea_bodyweight_squat_to_side_to_front_leg,Bodyweight Squat to Side to Front Leg,Bodyweight Squat to Side to Front Leg.mp4,Female,,
ea_bodyweight_squats,Bodyweight Squats,bodyweight squats.mp4,Female,,
ea_bodyweight_squats_hold,Bodyweight Squats Hold,bodyweight squats hold.mp4,Female,,
ea_bodyweight_standing_calf_raise,Bodyweight Standing Calf Raise,Bodyweight Standing Calf Raise.mp4,Female,,
ea_bodyweight_step_up_on_step_box,Bodyweight Step-up on Step Box,Bodyweight Step-up on Step box.mp4,Female,,
ea_box_jump,Box Jump,box jump.mp4,Female,,
