id,title,equipmentId,muscles,has_frames,has_imageUrls
3_4_sit_up,3/4 Sit-Up,,core,yes,no
90_90_hamstring,90/90 Hamstring,,hamstrings;calves,yes,no
air_bike,Air Bike,,core,yes,no
all_fours_quad_stretch,All Fours Quad Stretch,,quads,yes,no
alternate_heel_touchers,Alternate Heel Touchers,,core,yes,no
fedb_bent-knee_hip_raise,Bent-Knee Hip Raise,,core,no,yes
fedb_body_tricep_press,Body Tricep Press,,triceps,no,yes
fedb_body-up,Body-Up,,triceps;core;forearms,no,yes
bodyweight_mid_row,Bodyweight Mid Row,,back;biceps;lats,yes,no
bodyweight_walking_lunge,Bodyweight Walking Lunge,,quads;calves;glutes;hamstrings,yes,no
fedb_bottoms_up,Bottoms Up,,core,no,yes
fedb_butt_lift_bridge,Butt Lift (Bridge),,glutes;hamstrings,no,yes
ab_crunch_machine,Ab Crunch Machine,ab_crunch_machine,core,yes,no
fedb_bench_jump,Bench Jump,adjustable_bench,quads;calves;glutes;hamstrings,no,yes
fedb_decline_close-grip_bench_to_skull_crusher,Decline Close-Grip Bench To Skull Crusher,adjustable_bench,triceps;chest;shoulders,no,yes
fedb_flat_bench_cable_flyes,Flat Bench Cable Flyes,adjustable_bench,chest,no,yes
fedb_flat_bench_leg_pull-in,Flat Bench Leg Pull-In,adjustable_bench,core,no,yes
fedb_incline_bench_pull,Incline Bench Pull,adjustable_bench,back;lats;shoulders,no,yes
air_bike_intervals,Air Bike Intervals,air_bike,quads;hamstrings;shoulders;core,no,no
air_bike_steady,Air Bike Steady Effort,air_bike,quads;hamstrings;shoulders,no,no
fedb_glute_ham_raise,Glute Ham Raise,back_extension,hamstrings;calves;glutes,no,yes
fedb_hyperextensions_with_no_hyperextension_bench,Hyperextensions With No Hyperextension Bench,back_extension,lower_back;glutes;hamstrings,no,yes
fedb_weighted_ball_hyperextension,Weighted Ball Hyperextension,back_extension,lower_back;glutes;hamstrings;back,no,yes
barbell_ab_rollout,Barbell Ab Rollout,barbell,core;lower_back;shoulders,yes,no
barbell_ab_rollout_on_knees,Barbell Ab Rollout - On Knees,barbell,core;lower_back;shoulders,yes,no
barbell_curls_lying_against_an_incline,Barbell Curls Lying Against An Incline,barbell,biceps,yes,no
barbell_deadlift,Barbell Deadlift,barbell,lower_back;calves;forearms;glutes;hamstrings;lats;back;quads;traps,yes,no
fedb_barbell_glute_bridge,Barbell Glute Bridge,barbell,glutes;calves;hamstrings,no,yes
fedb_barbell_hip_thrust,Barbell Hip Thrust,barbell,glutes;calves;hamstrings,no,yes
fedb_barbell_incline_shoulder_raise,Barbell Incline Shoulder Raise,barbell,shoulders;chest,no,yes
fedb_barbell_rollout_from_bench,Barbell Rollout from Bench,barbell,core;glutes;hamstrings;lats;shoulders,no,yes
barbell_walking_lunge,Barbell Walking Lunge,barbell,quads;calves;glutes;hamstrings,yes,no
fedb_rope_climb,Rope Climb,battle_ropes,lats;biceps;forearms;back;shoulders,no,yes
barbell_bench_press_medium_grip,Barbell Bench Press - Medium Grip,bench_press,chest;shoulders;triceps,yes,no
bench_press_powerlifting,Bench Press - Powerlifting,bench_press,triceps;chest;forearms;lats;shoulders,yes,no
bench_press_with_bands,Bench Press - With Bands,bench_press,chest;shoulders;triceps,yes,no
bench_press_with_chains,Bench Press with Chains,bench_press,triceps;chest;lats;shoulders,yes,no
fedb_dumbbell_bench_press_with_neutral_grip,Dumbbell Bench Press with Neutral Grip,bench_press,chest;shoulders;triceps,no,yes
fedb_hammer_grip_incline_db_bench_press,Hammer Grip Incline DB Bench Press,bench_press,chest;shoulders;triceps,no,yes
fedb_machine_bicep_curl,Machine Bicep Curl,bicep_curl_machine,biceps,no,yes
alternating_cable_shoulder_press,Alternating Cable Shoulder Press,cable_machine,shoulders;triceps,yes,no
bent_over_low_pulley_side_lateral,Bent Over Low-Pulley Side Lateral,cable_machine,shoulders;lower_back;back;traps,yes,no
bosu_ball_cable_crunch_with_side_bends,Bosu Ball Cable Crunch With Side Bends,cable_machine,core,yes,no
